Methods ^nns++++=Methods:
: ^zz++++=EXTRAWORD
This ^dt+dem+++=This
bibliometric ^jj+atrb+++=bibliometric
study ^nn++++=study
analyzed ^vbd+++xvbn+=analyzed
the ^ati++++=the
scientific ^jj+atrb+++=scientific
output ^nn++++=output
in ^in++++=in
the ^ati++++=the
field ^nn++++=field
of ^in++++=of
Public ^nn++++=Public
and ^cc++++=and
Collective ^jj+atrb+++=Collective
Health ^nn++++=Health
from ^in++++=from
the ^ati++++=the
most ^ql+emph+++=most
prolific ^jj+atrb+++=prolific
countries ^nns++++=countries
within ^in++++=within
the ^ati++++=the
Scielo ^np+++??+=SciELO
Network ^nn++++=Network
during ^in++++=during
the ^ati++++=the
period ^nn++++=period
2011 ^cd++++=2011
2015 ^cd++++=2015.
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
were ^vbd+bed+aux++=were
obtained ^vpsv++agls+xvbnx+=obtained
from ^in++++=from
the ^ati++++=the
Scielo ^np+++??+=SciELO
Citation ^np+nom++??+=Citation
Index ^nn++++=Index
( ^zz++++=(SciELO
scielo ^nn+++??+=EXTRAWORD
Ci ^np+++??+=CI)
) ^zz++++=EXTRAWORD
database ^nn+++??+=database,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
citation ^nn+nom+++=citation
patterns ^nns++++=patterns
were ^vbd+bed+aux++=were
examined ^vbd+++xvbn+=examined
according ^in++++=according
to ^in++++=to
language ^nn+nom+++=language
and ^cc++++=and
source ^nn++++=source.
. ^zz++++=EXTRAWORD
