It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
to ^to+jcmp+++=to
prioritize ^vbi++++=prioritize
efforts ^nns++++=efforts
aimed ^vbd+++xvbn+=aimed
at ^rb++++=at
extending ^vbg+++xvbg+=extending
educational ^jj+atrb+++=educational
activities ^nns+nom+++=activities
beyond ^in++++=beyond
traditional ^jj+atrb+++=traditional
classroom ^nn++++=classroom
settings ^nns++++=settings,
, ^zz++++=EXTRAWORD
recognizing ^vbg+++xvbg+=recognizing
that ^tht+vcmp+++=that
a ^at++++=a
wide ^jj+atrb+++=wide
variety ^nn++++=variety
of ^in++++=of
environments ^nns+nom+++=environments
including ^in++++=including
schoolyards ^nns+++??+=schoolyards,
, ^zz++++=EXTRAWORD
gardens ^nns++++=gardens,
, ^zz++++=EXTRAWORD
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
animal ^nn++++=animal
farms ^nns++++=farms,
, ^zz++++=EXTRAWORD
springs ^vbz++++=springs,
, ^zz++++=EXTRAWORD
beaches ^nns++++=beaches,
, ^zz++++=EXTRAWORD
dunes ^nns++++=dunes,
, ^zz++++=EXTRAWORD
open ^jj+atrb+++=open
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
local ^jj+atrb+++=local
surroundings ^nns++++=surroundings
such ^abl++++=such
as ^ql++++=as
neighborhoods ^nns+nom+++=neighborhoods,
, ^zz++++=EXTRAWORD
cities ^nns++++=cities,
, ^zz++++=EXTRAWORD
geographic ^jj+atrb+++=geographic
formations ^nns+nom+++=formations,
, ^zz++++=EXTRAWORD
historical ^jj+atrb+++=historical
sites ^nns++++=sites,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
natural ^jj+atrb+++=natural
landscapes ^nns++++=landscapes
can ^md+pos+++=can
serve ^vb++++=serve
as ^in++++=as
valuable ^jj+atrb+++=valuable
contexts ^nns++++=contexts
for ^in++++=for
learning ^xvbg+++xvbg+=learning.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition
to ^in++++=to
providing ^jj+atrb++xvbg+=providing
opportunities ^nns+nom+++=opportunities
for ^in++++=for
free ^jj+atrb+++=free
play ^nn++++=play
and ^cc++++=and
relaxation ^nn+nom+++=relaxation,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
spaces ^nns++++=spaces
can ^md+pos+++=can
be ^vb+be+aux++=be
utilized ^vpsv++agls+xvbnx+=utilized
as ^ql++++=as
environments ^nns+nom+++=environments
for ^in++++=for
storytelling ^nn+nom+++=storytelling,
, ^zz++++=EXTRAWORD
artistic ^jj+atrb+++=artistic
expression ^nn++++=expression,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
diverse ^jj+atrb+++=diverse
forms ^nns++++=forms
of ^in++++=of
knowledge ^nn++++=knowledge
( ^zz++++=(Barros,
barros ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
23 ^cd++++=23).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
