Previous ^jj+atrb+++=Previous
research ^nn++++=research
has ^vbz+hvz+aux++=has
operationalized ^vprf+++xvbnx+=operationalized
governance ^nn+nom+++=governance
using ^vwbg+++xvbg+=using
a ^at++++=a
range ^nn++++=range
of ^in++++=of
measurement ^nn+nom+++=measurement
approaches ^nns++++=approaches.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
Kitching ^np+++??+=Kitching
( ^zz++++=(2009)
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
employs ^vbz++++=employs
a ^at++++=a
single ^jj+atrb+++=single
indicator ^nn++++=indicator
of ^in++++=of
governance ^nn+nom+++=governance,
, ^zz++++=EXTRAWORD
Yetman ^np+++??+=Yetman
and ^cc++++=and
Yetman ^np+++??+=Yetman
( ^zz++++=(2012)
2012 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
utilize ^vb++++=utilize
multiple ^jj+atrb+++=multiple
indicators ^nns++++=indicators
concurrently ^rb+cnj+++=concurrently,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Harris ^np++++=Harris
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2015)
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
develop ^vb++++=develop
measures ^nns++++=measures
for ^in++++=for
various ^jj+atrb+++=various
governance ^nn+nom+++=governance
dimensions ^nns++++=dimensions.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
each ^dt++++=each
of ^in++++=of
these ^dt+dem+++=these
approaches ^nns++++=approaches
is ^vbz+bez+vrb++=is
suitable ^jj+pred+++=suitable
for ^in++++=for
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
research ^nn++++=research
questions ^nns+nom+++=questions
and ^cc++++=and
designs ^nns++++=designs,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
remains ^nns++++=remains
a ^at++++=a
gap ^nn++++=gap
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature
regarding ^in++++=regarding
a ^at++++=a
standardized ^jj+atrb++xvbn+=standardized
method ^nn++++=method
for ^in++++=for
measuring ^xvbg+++xvbg+=measuring
governance ^nn+nom+++=governance
as ^in++++=as
a ^at++++=a
latent ^jj+atrb+++=latent
variable ^nn++++=variable,
, ^zz++++=EXTRAWORD
defined ^vpbn+vprv++xvbn+=defined
as ^ql++++=as
a ^at++++=a
set ^nn+++xvbn+=set
of ^in++++=of
governance ^nn+nom+++=governance
dimensions ^nns++++=dimensions
assessed ^vwbn+++xvbn+=assessed
through ^in++++=through
underlying ^xvbg+++xvbg+=underlying
governance ^nn+nom+++=governance
factors ^nns++++=factors.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
prior ^jj+atrb+++=prior
studies ^nns++++=studies
have ^vb+hv+aux++=have
constructed ^vprf+++xvbnx+=constructed
both ^abx++++=both
unidimensional ^jj+atrb+++=unidimensional
factors ^nns++++=factors
and ^cc++++=and
multidimensional ^nn+nom+++=multidimensional
constructs ^vbz++++=constructs
to ^to++++=to
represent ^vbi++++=represent
governance ^nn+nom+++=governance
dimensions ^nns++++=dimensions
and ^cc++++=and
have ^vb+hv+aux++=have
examined ^vprf+++xvbnx+=examined
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
these ^dt+dem+++=these
factors ^nns++++=factors
and ^cc++++=and
dimensions ^nns++++=dimensions
on ^in++++=on
donation ^nn+nom+++=donation
outcomes ^nns++++=outcomes.
. ^zz++++=EXTRAWORD
