Table ^nn++++=Table
2 ^zz++++=2
presents ^vbz++++=presents
the ^ati++++=the
results ^nns++++=results
of ^in++++=of
the ^ati++++=the
final ^jj+atrb+++=final
spatial ^jj+atrb+++=spatial
regression ^nn++++=regression
analysis ^nn++++=analysis
model ^nn++++=model.
. ^zz++++=EXTRAWORD
The ^ati++++=The
proportion ^nn+nom+++=proportion
of ^in++++=of
female ^jj++++=female-headed
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
households ^nns++++=households
and ^cc++++=and
the ^ati++++=the
Municipal ^jj+atrb+++=Municipal
Human ^jj+atrb+++=Human
Development ^nn+nom+++=Development
Index ^nn++++=Index
( ^zz++++=(MHDI)
mhdi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
both ^abx++++=both
positively ^rb++++=positively
associated ^vbd+++xvbn+=associated
with ^in++++=with
femicide ^nn+++??+=femicide
rates ^nns++++=rates
in ^in++++=in
the ^ati++++=the
municipalities ^nns+nom+++=municipalities
of ^in++++=of
Sergipe ^np+++??+=Sergipe
between ^in++++=between
2013 ^cd++++=2013
and ^cc++++=and
2017 ^cd++++=2017
( ^zz++++=(p
p ^zz++++=EXTRAWORD
< ^zz++++=<
0.05 ^nn+++??+=0.05).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Income ^nn++++=Income
Concentration ^nn+nom+++=Concentration
Index ^nn++++=Index
( ^zz++++=(GINI
gini ^nn+++??+=EXTRAWORD
Index ^nn++++=Index)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
negatively ^rb++splt++=negatively
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
femicide ^nn+++??+=femicide
rates ^nns++++=rates
in ^in++++=in
these ^dt+dem+++=these
municipalities ^nns+nom+++=municipalities
during ^in++++=during
the ^ati++++=the
same ^ap++++=same
period ^nn++++=period.
. ^zz++++=EXTRAWORD
