A ^at++++=A
reduction ^nn+nom+++=reduction
in ^in++++=in
Ufc ^np+++??+=UFC/mL/cm
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
for ^in++++=for
all ^abn++++=all
tested ^jj+atrb++xvbn+=tested
microorganisms ^nns+nom+++=microorganisms
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
4 ^zz++++=4).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
the ^ati++++=the
extract ^nn++++=extract
and ^cc++++=and
decoction ^nn+nom+++=decoction
demonstrated ^vbd+vprv++xvbn+=demonstrated
statistically ^rb++++=statistically
significant ^jj+atrb+++=significant
reductions ^nns+nom+++=reductions
in ^in++++=in
bacterial ^nn++++=bacterial
counts ^vbz++++=counts
compared ^vbd+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
negative ^jj+atrb+++=negative
control ^nn++++=control
across ^in+pl+++=across
all ^abn++++=all
surfaces ^nns++++=surfaces,
, ^zz++++=EXTRAWORD
except ^in++++=except
for ^in"++++=for
Salmonella ^np+++??+=Salmonella
Typhimurium ^np+++??+=Typhimurium
on ^in++++=on
steel ^nn++++=steel,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
no ^at++++=no
significant ^jj+atrb+++=significant
difference ^nn+nom+++=difference
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
are ^vb+ber+vrb++=are
consistent ^jj+pred+++=consistent
with ^in++++=with
those ^dt+dem+++=those
reported ^vpsv++by+xvbn+=reported
by ^in++++=by
Oliveira ^np+++??+=Oliveira
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2017).
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
An ^at++++=An
effective ^jj++++=effective
disinfectant ^jj++++=disinfectant
should ^md+nec+++=should
be ^vb+be+vrb++=be
capable ^jj+pred+++=capable
of ^in++++=of
destroying ^xvbg+++xvbg+=destroying
or ^cc++++=or
inactivating ^xvbg+++xvbg+=inactivating
pathogenic ^jj+atrb+++=pathogenic
organisms ^nns+nom+++=organisms
within ^in++++=within
a ^at++++=a
reasonable ^jj+atrb+++=reasonable
timeframe ^nn+++??+=timeframe,
, ^zz++++=EXTRAWORD
offer ^nn++++=offer
a ^at++++=a
favorable ^&fw++++=favorable
cost ^nn++++=cost-benefit
- ^zz++++=EXTRAWORD
benefit ^nn++++=EXTRAWORD
ratio ^nn++++=ratio,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
be ^vb+be+vrb++=be
easy ^jj+pred+++=easy
and ^cc+phrs+++=and
safe ^jj++++=safe
to ^to+jcmp+++=to
transport ^vb++++=transport,
, ^zz++++=EXTRAWORD
store ^nn++++=store,
, ^zz++++=EXTRAWORD
handle ^vb++++=handle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
apply ^vb++++=apply.
. ^zz++++=EXTRAWORD
