Since ^in++++=Since
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
the ^ati++++=the
coronavirus ^nns+++??+=coronavirus
pandemic ^jj++++=pandemic
has ^vbz+hvz+aux++=has
significantly ^rb++splt++=significantly
impacted ^vprf+++xvbnx+=impacted
global ^jj+atrb+++=global
health ^nn++++=health
systems ^nns++++=systems
and ^cc++++=and
the ^ati++++=the
organization ^nn+nom+++=organization
of ^in++++=of
health ^nn++++=health
services ^nns++++=services.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
case ^nn++++=case
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
in ^in++++=in
Brazil ^np++++=Brazil
was ^vbd+bedz+aux++=was
reported ^vpsv++agls+xvbnx+=reported
in ^in++++=in
February ^nr+nom+++=February
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
December ^nr+nom+++=December
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
year ^nn++++=year,
, ^zz++++=EXTRAWORD
nearly ^rb+down+++=nearly
200,000 ^cd++++=200,000
deaths ^nns++++=deaths
and ^cc++++=and
approximately ^rb+down+++=approximately
8 ^zz++++=8
million ^cd++++=million
confirmed ^vbn+vpub+tht0+xvbn+=confirmed
cases ^nns++++=cases
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
recorded ^vpsv++agls+xvbnx+=recorded.
. ^zz++++=EXTRAWORD
The ^ati++++=The
literature ^nn++++=literature
extensively ^rb++++=extensively
documents ^nns+nom+++=documents
the ^ati++++=the
challenges ^nn++++=challenges
faced ^vwbn+++xvbn+=faced
by ^in++++=by
health ^nn++++=health
systems ^nns++++=systems
worldwide ^nn+++??+=worldwide
in ^in++++=in
managing ^xvbg+++xvbg+=managing
the ^ati++++=the
consequences ^nns+nom+++=consequences
of ^in++++=of
the ^ati++++=the
pandemic ^nn++++=pandemic,
, ^zz++++=EXTRAWORD
with ^in++++=with
limitations ^nns+nom+++=limitations
extending ^vwbg+++xvbg+=extending
beyond ^in++++=beyond
the ^ati++++=the
treatment ^nn+nom+++=treatment
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
cases ^nns++++=cases
to ^to++++=to
include ^vbi++++=include
difficulties ^nns++++=difficulties
in ^in++++=in
addressing ^vbg+++xvbg+=addressing
other ^ap++++=other
healthcare ^nn++++=healthcare
needs ^nns++++=needs
of ^in++++=of
the ^ati++++=the
population ^nn+nom+++=population.
. ^zz++++=EXTRAWORD
