It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
population ^nn+nom+++=population
resides ^nns+++??+=resides
in ^in++++=in
urban ^jj+atrb+++=urban
areas ^nns++++=areas.
. ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil
comprises ^vbz++++=comprises
more ^rbr++++=more
than ^in++++=than
5,000 ^cd++++=5,000
municipalities ^nns+nom+++=municipalities,
, ^zz++++=EXTRAWORD
most ^ap+emph+++=most
of ^in++++=of
which ^whp+rel+pied++=which
are ^vb+ber+vrb++=are
small ^jj+atrb+++=small
cities ^nns++++=cities
or ^cc++++=or
towns ^nns++++=towns
where ^wrb+who+++=where
internet ^jj+atrb++??+=internet
transmission ^nn++++=transmission
signals ^nns+nom+++=signals
are ^vb+ber+vrb++=are
often ^rb++++=often
inadequate ^jj++++=inadequate
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
factors ^vb++++=factors
such ^abl++++=such
as ^ql++++=as
distance ^nn+nom+++=distance
from ^in++++=from
major ^jj+atrb+++=major
urban ^jj+atrb+++=urban
centers ^nns+nom+++=centers,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
optical ^jj+atrb+++=optical
fiber ^jjr+atrb+++=fiber
infrastructure ^nn+++??+=infrastructure
is ^vbz+bez+vrb++=is
more ^rbr++++=more
readily ^rb++++=readily
available ^jj++++=available,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
limited ^jj+atrb++xvbn+=limited
radio ^nn++++=radio
transmission ^nn++++=transmission,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
sometimes ^rb++++=sometimes
absent ^jj+pred+++=absent
in ^in++++=in
rural ^jj+atrb+++=rural
areas ^nns++++=areas.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
residing ^vbg+++xvbg+=residing
in ^in++++=in
urban ^jj+atrb+++=urban
centers ^nns+nom+++=centers
does ^vbz+doz+aux++=does
not ^xnot++not++=not
guarantee ^nn+nom+++=guarantee
access ^nn++++=access
to ^in++++=to
broadband ^nn+++??+=broadband
internet ^nn+++??+=internet,
, ^zz++++=EXTRAWORD
as ^in++++=as
service ^nn++++=service
quality ^nn+nom+++=quality
can ^md+pos+++=can
be ^vb+be+vrb++=be
unstable ^jj+pred+++=unstable,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
peripheral ^jj+atrb+++=peripheral
regions ^nns++++=regions.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Lis ^np+++??+=Lis
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Yuge ^np+++??+=Yuge
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
National ^jj+atrb+++=National
Telecommunications ^nns+nom+++=Telecommunications
Agency ^nn++++=Agency
has ^vbz+hvz+aux++=has
reported ^vprf+++xvbnx+=reported
an ^at++++=an
increasing ^jj+atrb++xvbg+=increasing
number ^nn++++=number
of ^in++++=of
complaints ^nns++++=complaints
regarding ^in++++=regarding
insufficient ^jj+atrb+++=insufficient
broadband ^nn+++??+=broadband
internet ^nn+++??+=internet
provision ^nn++++=provision
in ^in++++=in
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
Cardoso ^np+++??+=Cardoso
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
highlights ^nns++++=highlights
the ^ati++++=the
challenges ^nn++++=challenges
of ^in++++=of
accessing ^xvbg+++xvbg+=accessing
broadband ^nn+++??+=broadband
internet ^nn+++??+=internet
in ^in++++=in
the ^ati++++=the
outskirts ^nns++++=outskirts
of ^in++++=of
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo,
, ^zz++++=EXTRAWORD
the ^ati++++=the
largest ^jjt++++=largest
urban ^jj++++=urban
center ^jjr++++=center
in ^in++++=in
the ^ati++++=the
country ^nn++++=country
s ^zz++++=s
most ^ap+emph+++=most
economically ^rb++++=economically
developed ^jj+atrb++xvbn+=developed
region ^nn++++=region,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
Seade ^np+++??+=SEADE
Foundation ^nn+nom+++=Foundation
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
more ^rbr++++=more
than ^in++++=than
7.5 ^cd++++=7.5
million ^cd++++=million
people ^nns++++=people
have ^vb+hv+aux++=have
never ^rb++++=never
had ^vb+hv+vrb++=had
internet ^nn+++??+=internet
access ^nn++++=access.
. ^zz++++=EXTRAWORD
Soprana ^np+++??+=Soprana
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
further ^jjb++++=further
indicates ^nns+nom+++=indicates
that ^tht+vcmp+++=that
over ^rp++++=over
70 ^cd++++=70
million ^cd++++=million
brazilians ^np++++=Brazilians
lack ^nn++++=lack
internet ^nn++++=internet
access ^nn++++=access.
. ^zz++++=EXTRAWORD
