Biomass ^np+++??+=Biomass
of ^in++++=of
the ^ati++++=the
thalli ^nn+++??+=thalli
was ^vbd+bedz+aux++=was
measured ^vpsv++agls+xvbnx+=measured
weekly ^jj++++=weekly
using ^jj+++xvbg+=using
an ^at++++=an
analytical ^jj+atrb+++=analytical
balance ^nn+nom+++=balance
during ^in++++=during
each ^dt++++=each
replacement ^nn+nom+++=replacement
of ^in++++=of
the ^ati++++=the
culture ^nn++++=culture
medium ^jjb++++=medium.
. ^zz++++=EXTRAWORD
Prior ^jj++++=Prior
to ^to++++=to
weighing ^vbg+++xvbg+=weighing,
, ^zz++++=EXTRAWORD
thalli ^nn+++??+=thalli
were ^vbd+bed+aux++=were
gently ^rb++splt++=gently
blotted ^vpsv++agls+xvbnx+=blotted
with ^in++++=with
paper ^nn++++=paper
towels ^nns++++=towels
to ^to++++=to
remove ^vbi++++=remove
excess ^jj+atrb+++=excess
surface ^nn++++=surface
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Relative ^jj+atrb+++=Relative
growth ^nn++++=growth
rates ^nns++++=rates
( ^zz++++=(RGR)
rgr ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
calculated ^vpsv++agls+xvbnx+=calculated
at ^rb++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
cultivation ^nn+nom+++=cultivation
period ^nn++++=period
using ^vwbg+++xvbg+=using
the ^ati++++=the
formula ^nn++++=formula
recommended ^vwbn+vsua++xvbn+=recommended
by ^in++++=by
Yong ^np+++??+=Yong
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2013):
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
: ^zz++++=EXTRAWORD
[ ^zz++++=[(Wt/Wi)^(1/t)
( ^zz++++=EXTRAWORD
wt ^nn++++=EXTRAWORD
1 ^zz++++=1]
] ^zz++++=EXTRAWORD
100 ^cd++++=100,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
Wt ^np+++??+=Wt
is ^vbz+bez+vrb++=is
the ^ati++++=the
wet ^jj+atrb+++=wet
weight ^nn++++=weight
after ^in++++=after
t ^zz++++=t
days ^nns++++=days,
, ^zz++++=EXTRAWORD
Wi ^np+++??+=Wi
is ^vbz+bez+vrb++=is
the ^ati++++=the
initial ^jj+atrb+++=initial
wet ^jj+atrb+++=wet
weight ^nn++++=weight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
t ^zz++++=t
is ^vbz+bez+vrb++=is
the ^ati++++=the
duration ^nn+nom+++=duration
of ^in++++=of
the ^ati++++=the
cultivation ^nn+nom+++=cultivation
period ^nn++++=period
in ^in++++=in
days ^nns++++=days.
. ^zz++++=EXTRAWORD
Wet ^jj+atrb+++=Wet
weight ^nn++++=weight
and ^cc++++=and
rgr ^np++++=RGR
were ^vbd+bed+aux++=were
used ^vpsv++agls+xvbn+=used
as ^ql++++=as
indicators ^nns++++=indicators
of ^in++++=of
thalli ^nn++++=thalli
health ^nn++++=health.
. ^zz++++=EXTRAWORD
