Objective ^jj++++=Objective:
: ^zz++++=EXTRAWORD
To ^to++++=To
evaluate ^nn+nom+++=evaluate
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
modifications ^nns+nom+++=modifications
in ^in++++=in
Primary ^jj+atrb+++=Primary
Care ^nn++++=Care
policies ^nns++++=policies
on ^in++++=on
the ^ati++++=the
trends ^nns++++=trends
of ^in++++=of
hospitalization ^nn+nom+++=hospitalization
rates ^nns++++=rates
for ^in++++=for
Ambulatory ^np+++??+=Ambulatory
Care ^nn++++=Care
Sensitive ^jj+atrb+++=Sensitive
Conditions ^nns+nom+++=Conditions
in ^in++++=in
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
rio ^np++++=Rio
de ^&fw++++=de
janeiro ^np++++=Janeiro,
, ^zz++++=EXTRAWORD
brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
