A ^at++++=A
total ^nn++++=total
of ^in++++=of
38 ^cd++++=38
taxa ^nn+++??+=taxa
representing ^vwbg+++xvbg+=representing
20 ^cd++++=20
genera ^nns++++=genera
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified
over ^in++++=over
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
the ^ati++++=the
study ^nn++++=study
period ^nn++++=period
( ^zz++++=(
6,000 ^cd++++=6,000
cal ^jj+atrb+++=cal
yr ^nn+++??+=yr
Bp ^np+++??+=BP).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
five ^cd++++=five
diatom ^nn+++??+=diatom
species ^nns++++=species
were ^vbd+bed+aux++=were
recorded ^vpsv++agls+xvbnx+=recorded
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nineteen ^cd++++=nineteen
species ^nn++++=species
were ^vbd+bed+aux++=were
documented ^vpsv++agls+xvbn+=documented
as ^ql++++=as
new ^np++++=new
records ^vbz+vpub+++=records
for ^in++++=for
the ^ati++++=the
brazilian ^jj+atrb+++=Brazilian
amazon ^np++++=Amazon.
. ^zz++++=EXTRAWORD
