Generally ^rb+cnj+++=Generally,
, ^zz++++=EXTRAWORD
such ^abl++++=such
items ^nns++++=items
reflect ^vb+vprv+tht0++=reflect
concepts ^nns++++=concepts
found ^vbd+vprv++xvbn+=found
in ^in++++=in
the ^ati++++=the
reports ^nns++++=reports
by ^in++++=by
Faure ^np+++??+=Faure
( ^zz++++=(1973)
1973 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Delors ^np+++??+=Delors
( ^zz++++=(1998),
1998 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
advocate ^nn+nom+++=advocate
for ^in++++=for
education ^nn+nom+++=education
aimed ^vbd+++xvbn+=aimed
at ^rb++++=at
developing ^vbg+++xvbg+=developing
learners ^nns+nom+++=learners'
' ^zz++++=EXTRAWORD
capacities ^nns+nom+++=capacities
and ^cc++++=and
competencies ^nns+++??+=competencies
in ^in++++=in
relation ^nn+nom+++=relation
to ^in"++++=to
their ^pp$+pp3+++=their
social ^jj+atrb+++=social
environment ^nn+nom+++=environment.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
item ^nn++++=item
Iv ^np+++??+=IV,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
addresses ^nns+nom+++=addresses
basic ^jj+atrb+++=basic
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
emphasizes ^vbz+vpub+++=emphasizes
" ^zz++++="the
the ^ati++++=EXTRAWORD
strengthening ^jj+++xvbg+=strengthening
of ^in++++=of
family ^nn++++=family
ties ^nns++++=ties,
, ^zz++++=EXTRAWORD
bonds ^nns++++=bonds
of ^in++++=of
human ^jj+atrb+++=human
solidarity ^nn+nom+++=solidarity
and ^cc++++=and
of ^in++++=of
reciprocal ^jj+atrb+++=reciprocal
tolerance ^nn+nom+++=tolerance"
" ^zz++++=EXTRAWORD
( ^zz++++=(Brasil,
brasil ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1996 ^cd+date+++=1996),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
perspective ^nn++++=perspective
that ^tht+rel+obj++=that
aligns ^nns+++??+=aligns
with ^in++++=with
the ^ati++++=the
Delors ^np+++??+=Delors
report ^nn++++=report
( ^zz++++=(1998)
1998 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
through ^in++++=through
its ^pp$+it+++=its
focus ^nn++++=focus
on ^in++++=on
the ^ati++++=the
principle ^nn++++=principle
of ^in++++=of
living ^nn++++=living
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
