Leybourne ^np+++??+=Leybourne,
, ^zz++++=EXTRAWORD
Newbold ^np+++??+=Newbold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Vougas ^np+++??+=Vougas
( ^zz++++=(LNV)
lnv ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(1998)
1998 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
proposed ^vbd+vsua++xvbn+=proposed
a ^at++++=a
unit ^nn++++=unit
root ^nn++++=root
test ^nn++++=test
that ^tht+rel+subj++=that
incorporates ^nns+nom+++=incorporates
structural ^jj+atrb+++=structural
changes ^nns++++=changes
into ^in++++=into
the ^ati++++=the
model ^nn++++=model
through ^in++++=through
a ^at++++=a
smooth ^jj+atrb+++=smooth
transition ^nn+nom+++=transition
mechanism ^nn+nom+++=mechanism,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
assuming ^xvbg+++xvbg+=assuming
instantaneous ^jj++++=instantaneous
shifts ^vbz++++=shifts.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
utilizes ^vbz++++=utilizes
a ^at++++=a
logistic ^jj+atrb+++=logistic
function ^nn+nom+++=function
to ^in++++=to
account ^nn++++=account
for ^in++++=for
structural ^nn++++=structural
breaks ^vbz++++=breaks,
, ^zz++++=EXTRAWORD
enabling ^vbg+nom++xvbg+=enabling
the ^ati++++=the
modeling ^nn+nom+++=modeling
of ^in++++=of
gradual ^jj+atrb+++=gradual
structural ^jj+atrb+++=structural
transitions ^nns+nom+++=transitions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Lnv ^np+++??+=LNV
test ^nn++++=test
represents ^vbz++++=represents
an ^at++++=an
alternative ^nn++++=alternative
to ^in++++=to
traditional ^jj+atrb+++=traditional
unit ^nn++++=unit
root ^nn++++=root
tests ^nns++++=tests
that ^tht+rel+subj++=that
only ^rb+down+++=only
consider ^nn+nom+++=consider
abrupt ^jj++++=abrupt
structural ^jj++++=structural
breaks ^vbz++++=breaks
and ^cc++++=and
marks ^nns++++=marks
the ^ati++++=the
introduction ^nn+nom+++=introduction
of ^in++++=of
nonlinear ^nn+++??+=nonlinear
testing ^vwbg+++xvbg+=testing
procedures ^nns++++=procedures.
. ^zz++++=EXTRAWORD
To ^to++++=To
operationalize ^vbi++++=operationalize
this ^dt+dem+++=this
method ^nn++++=method,
, ^zz++++=EXTRAWORD
logistic ^jj+atrb+++=logistic
smooth ^jj+atrb+++=smooth
transition ^nn+nom+++=transition
regressions ^nns++++=regressions
were ^vbd+bed+aux++=were
formulated ^vpsv++by+xvbn+=formulated
by ^in++++=by
defining ^jj+atrb+++=defining
three ^cd++++=three
distinct ^jj+atrb+++=distinct
models ^nns++++=models.
. ^zz++++=EXTRAWORD
