At ^rb++++=At
a ^at++++=a
general ^jj+atrb+++=general
level ^nn++++=level,
, ^zz++++=EXTRAWORD
the ^ati++++=the
highest ^jjt+atrb+++=highest
proportion ^nn+nom+++=proportion
of ^in++++=of
toxic ^jj++++=toxic
or ^cc++++=or
potentially ^rb++++=potentially
toxic ^jj+atrb+++=toxic
species ^nn++++=species
is ^vbz+bez+vrb++=is
of ^in++++=of
exotic ^jj+atrb+++=exotic
origin ^nn++++=origin.
. ^zz++++=EXTRAWORD
Site ^nn++++=Site-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
analysis ^nn++++=analysis
indicates ^nns+nom+++=indicates
that ^tht+vcmp+++=that
in ^in++++=in
the ^ati++++=the
Rz ^np+++??+=RZ
and ^cc++++=and
Vp ^np+++??+=VP
sites ^nns++++=sites,
, ^zz++++=EXTRAWORD
the ^ati++++=the
percentage ^nn+nom+++=percentage
of ^in++++=of
exotic ^jj+atrb+++=exotic
toxic ^jj+atrb+++=toxic
species ^nns++++=species
exceeded ^vbd+++xvbn+=exceeded
that ^dt+dem+++=that
of ^in++++=of
native ^jj+atrb+++=native
species ^nns++++=species.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
Pp ^nns++++=PP
and ^cc++++=and
Fe ^&fo++++=FE
sites ^nns++++=sites,
, ^zz++++=EXTRAWORD
native ^jj+atrb+++=native
toxic ^jj+atrb+++=toxic
species ^nn++++=species
including ^in++++=including
Asclepias ^np+++??+=Asclepias
mellodora ^nn+++??+=mellodora
A.st. ^np+++??+=A.St.-Hil.,
- ^zz++++=EXTRAWORD
hil ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Baccharis ^np+++??+=Baccharis
ulicina ^nn+++??+=ulicina
Hook ^nn++++=Hook.
. ^zz++++=EXTRAWORD
& ^zz++++=&
Arn ^np+++??+=Arn.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Euphorbia ^np+++??+=Euphorbia
collina ^nn+++??+=collina,
, ^zz++++=EXTRAWORD
E ^zz++++=E.
. ^zz++++=EXTRAWORD
serpens ^nns+++??+=serpens
Kunth ^np+++??+=Kunth,
, ^zz++++=EXTRAWORD
E ^zz++++=E.
. ^zz++++=EXTRAWORD
hieronymi ^nn+++??+=hieronymi
Subils ^np+++??+=Subils,
, ^zz++++=EXTRAWORD
Clematis ^np+++??+=Clematis
montevidensis ^nns+++??+=montevidensis
Spreng ^np+++??+=Spreng.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Nierembergia ^np+++??+=Nierembergia
linariaefolia ^nn+++??+=linariaefolia
Graham ^np++++=Graham,
, ^zz++++=EXTRAWORD
Nicotiana ^np+++??+=Nicotiana
noctiflora ^nn+++??+=noctiflora
Hook ^nn++++=Hook.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Solanum ^np+++??+=Solanum
triflorum ^nn+++??+=triflorum
Nutt ^np+++??+=Nutt.
. ^zz++++=EXTRAWORD
accounted ^j+++xvbn+=accounted
for ^in++++=for
a ^at++++=a
higher ^jjr+atrb+++=higher
percentage ^nn+nom+++=percentage
than ^in++++=than
exotic ^jj+atrb+++=exotic
toxic ^jj+atrb+++=toxic
species ^nn++++=species
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
7 ^zz++++=7).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
