According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
K ^zz++++=K
ppen ^vprf+++xvbn+=ppen
classification ^nn+nom+++=classification,
, ^zz++++=EXTRAWORD
the ^ati++++=the
climate ^nn+nom+++=climate
is ^vbz+bez+aux++=is
classified ^vpsv++agls+xvbnx+=classified
as ^cs+sub+++=as
Aw ^uh++++=Aw
( ^zz++++=(humid
humid ^jj++++=EXTRAWORD
tropical ^jj++++=tropical),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
characterized ^xvbn+++xvbn+=characterized
by ^in++++=by
heavy ^jj+atrb+++=heavy
rainfall ^nn++++=rainfall
during ^in++++=during
the ^ati++++=the
austral ^jj+atrb+++=austral
summer ^nn++++=summer
and ^cc++++=and
relatively ^rb++++=relatively
dry ^jj+atrb+++=dry
conditions ^nns+nom+++=conditions
in ^in++++=in
the ^ati++++=the
winter ^nn++++=winter.
. ^zz++++=EXTRAWORD
Mean ^jj+atrb+++=Mean
monthly ^jj+atrb+++=monthly
temperatures ^nns++++=temperatures
vary ^vb++++=vary
from ^in++++=from
25 ^cd++++=25
C ^zz++++=C
in ^in++++=in
February ^nr+nom+++=February
to ^to++++=to
19 ^cd++++=19
C ^zz++++=C
in ^in++++=in
June ^nr++++=June,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
annual ^jj+atrb+++=annual
average ^nn+nom+++=average
of ^in++++=of
approximately ^rb+down+++=approximately
22 ^cd++++=22
C ^zz++++=C.
. ^zz++++=EXTRAWORD
Annual ^jj+atrb+++=Annual
precipitation ^nn+nom+++=precipitation
generally ^rb+down+++=generally
ranges ^nns++++=ranges
from ^in++++=from
2,000 ^cd++++=2,000
to ^to++++=to
2,500 ^cd++++=2,500
mm ^nnu++++=mm,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
can ^md+pos+++=can
reach ^vb++++=reach
up ^rp++++=up
to ^to++++=to
3,300 ^cd++++=3,300
mm ^nnu++++=mm
in ^in++++=in
years ^nns++++=years
with ^in++++=with
exceptionally ^rb++++=exceptionally
high ^jj+atrb+++=high
rainfall ^nn++++=rainfall
( ^zz++++=(Coelho
coelho ^nn++++=EXTRAWORD
netto ^np++++=Netto
2005 ^cd++++=2005;
; ^zz++++=EXTRAWORD
icmbio ^np++++=ICMBIO
2008 ^cd++++=2008).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
