Plants ^nns++++=Plants
yellowish ^jj++++=yellowish
to ^in++++=to
golden ^jj++++=golden,
, ^zz++++=EXTRAWORD
with ^in++++=with
leaves ^nns++++=leaves
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
crowded ^vpsv++agls+xvbnx+=crowded,
, ^zz++++=EXTRAWORD
oblong ^jj++++=oblong-lanceolate
- ^zz++++=EXTRAWORD
lanceolate ^nn+nom+++=EXTRAWORD
to ^to++++=to
lingulate ^nn+nom+++=lingulate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
possess ^nns+nom+++=possess
a ^at++++=a
short ^jj++++=short-acuminate
- ^zz++++=EXTRAWORD
acuminate ^nn+nom+++=EXTRAWORD
to ^to++++=to
apiculate ^nn+nom+++=apiculate
apex ^nn++++=apex
with ^in++++=with
a ^at++++=a
crenulate ^nn+nom+++=crenulate
margin ^nn++++=margin;
; ^zz++++=EXTRAWORD
inner ^jjb+atrb+++=inner
basal ^jj+atrb+++=basal
cells ^nns++++=cells
are ^vb+ber+vrb++=are
reddish ^jj+pred+++=reddish-yellow,
- ^zz++++=EXTRAWORD
yellow ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
costae ^nn+++??+=costae
are ^vb+ber+vrb++=are
percurrent ^jj+pred+++=percurrent.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
was ^vbd+bedz+aux++=was
frequently ^rb++splt++=frequently
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
high ^jj+atrb+++=high
elevation ^nn+nom+++=elevation
grasslands ^nns++++=grasslands
during ^in++++=during
the ^ati++++=the
study ^nn++++=study.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
rupicolous ^jj+pred+++=rupicolous
and ^cc+phrs+++=and
terricolous ^jj++++=terricolous
within ^in++++=within
the ^ati++++=the
Atlantic ^np++++=Atlantic
Forest ^nn++++=Forest
and ^cc++++=and
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
recorded ^vpsv++agls+xvbnx+=recorded
in ^in++++=in
the ^ati++++=the
states ^nns++++=states
of ^in++++=of
Esp ^np+++??+=Esp
rito ^nn+++??+=rito
Santo ^np++++=Santo,
, ^zz++++=EXTRAWORD
Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais,
, ^zz++++=EXTRAWORD
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
santa ^&fw++++=Santa
catarina ^np++++=Catarina;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
endemic ^jj+pred+++=endemic
to ^in++++=to
brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
