According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
World ^nn++++=World
Health ^nn++++=Health
Organization ^nn+nom+++=Organization
( ^zz++++=(2018),
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
periodic ^jj+atrb+++=periodic
treatment ^nn+nom+++=treatment
is ^vbz+bez+vrb++=is
a ^at++++=a
preventive ^jj+atrb+++=preventive
and ^cc+phrs+++=and
effective ^jj+atrb+++=effective
measure ^nn++++=measure
for ^in++++=for
reducing ^xvbg+++xvbg+=reducing
parasitic ^jj+atrb+++=parasitic
burden ^nn++++=burden
and ^cc++++=and
its ^pp$+it+++=its
associated ^xvbn+++xvbn+=associated
consequences ^nns+nom+++=consequences.
. ^zz++++=EXTRAWORD
For ^in++++=For
school ^nn++++=school-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
control ^nn++++=control
strategies ^nns+++??+=strategies
to ^to++++=to
yield ^vbi++++=yield
positive ^jj+atrb+++=positive
outcomes ^nns+++??+=outcomes,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
to ^to+jcmp+++=to
implement ^nn+nom+++=implement
activities ^nns+nom+++=activities
that ^tht+rel+subj++=that
include ^vb++++=include
effective ^jj+atrb+++=effective
coordination ^nn+nom+++=coordination
between ^in++++=between
local ^jj+atrb+++=local
health ^nn++++=health
and ^cc++++=and
education ^nn+nom+++=education
systems ^nns++++=systems,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
systematic ^jj+atrb+++=systematic
monitoring ^nn++++=monitoring
and ^cc++++=and
evaluation ^nn+nom+++=evaluation
of ^in++++=of
the ^ati++++=the
intervention ^nn+nom+++=intervention.
. ^zz++++=EXTRAWORD
