A ^at++++=A
plausible ^jj+atrb+++=plausible
explanation ^nn+nom+++=explanation
for ^in++++=for
the ^ati++++=the
association ^nn+nom+++=association
between ^in++++=between
the ^ati++++=the
Board ^nn++++=Board
and ^cc++++=and
governance ^nn+nom+++=governance
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
donors ^nns++++=donors
perceive ^vb+vprv+++=perceive
the ^ati++++=the
Board ^nn++++=Board
as ^in++++=as
a ^at++++=a
critical ^jj+atrb+++=critical
entity ^nn++++=entity
for ^in++++=for
ensuring ^xvbg+++xvbg+=ensuring
the ^ati++++=the
separation ^nn+nom+++=separation
of ^in++++=of
control ^nn++++=control
and ^cc++++=and
management ^nn+nom+++=management
( ^zz++++=(Fama
fama ^nn+++??+=EXTRAWORD
and ^cc++++=and
Jensen ^np+++??+=Jensen,
, ^zz++++=EXTRAWORD
1983 ^cd+date+++=1983).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Board ^nn++++=Board
is ^vbz+bez+vrb++=is
responsible ^jj+pred+++=responsible
for ^in++++=for
overseeing ^xvbg+++xvbg+=overseeing
management ^nn+nom+++=management
activities ^nns+nom+++=activities,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
mitigating ^vbg+++xvbg+=mitigating
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
agents ^nns++++=agents
acting ^vwbg+++xvbg+=acting
in ^in++++=in
their ^pp$+pp3+++=their
own ^ap++++=own
interests ^nns++++=interests
rather ^rb++++=rather
than ^in++++=than
those ^dt+dem+++=those
of ^in++++=of
the ^ati++++=the
principals ^nns+nom+++=principals.
. ^zz++++=EXTRAWORD
