Albendazole ^np+++??+=Albendazole
( ^zz++++=(ABZ)
abz ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
selected ^vpsv++agls+xvbnx+=selected
as ^ql++++=as
the ^ati++++=the
primary ^jj+atrb+++=primary
agent ^nn++++=agent
for ^in++++=for
controlling ^xvbg+++xvbg+=controlling
parasitic ^jj+atrb+++=parasitic
infections ^nns+nom+++=infections
in ^in++++=in
the ^ati++++=the
studied ^jj+atrb++xvbn+=studied
population ^nn+nom+++=population.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
administered ^vpsv++agls+xvbnx+=administered
to ^to++++=to
millions ^cds++++=millions
of ^in++++=of
individuals ^nns+nom+++=individuals
in ^in++++=in
various ^jj+atrb+++=various
countries ^nns++++=countries
for ^in++++=for
the ^ati++++=the
treatment ^nn+nom+++=treatment
of ^in++++=of
geohelminthiasis ^nns+++??+=geohelminthiasis.
. ^zz++++=EXTRAWORD
Abz ^np+++??+=ABZ
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
few ^ap++++=few
side ^nn++++=side
effects ^nns++++=effects
and ^cc++++=and
low ^jj+atrb+++=low
toxicity ^nn+nom+++=toxicity
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
its ^pp$+it+++=its
poor ^jj+atrb+++=poor
absorption ^nn+nom+++=absorption
by ^in++++=by
the ^ati++++=the
intestinal ^jj+atrb+++=intestinal
mucosa ^nn+++??+=mucosa
and ^cc++++=and
rapid ^jj+atrb+++=rapid
elimination ^nn+nom+++=elimination
from ^in++++=from
the ^ati++++=the
body ^nn++++=body.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
single ^jj++++=single-dose
- ^zz++++=EXTRAWORD
dose ^nn++++=EXTRAWORD
administration ^nn+nom+++=administration
is ^vbz+bez+vrb++=is
advantageous ^jj+pred+++=advantageous
for ^in++++=for
large ^jj++++=large-scale
- ^zz++++=EXTRAWORD
scale ^nn++++=EXTRAWORD
geohelminth ^nn+++??+=geohelminth
infection ^nn+nom+++=infection
control ^nn++++=control
campaigns ^nns++++=campaigns,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
further ^jjb+pred+++=further
characterized ^vpsv++by+xvbn+=characterized
by ^in++++=by
a ^at++++=a
broad ^jj+atrb+++=broad
spectrum ^nn+++??+=spectrum
of ^in++++=of
activity ^nn+nom+++=activity
and ^cc++++=and
low ^jj+atrb+++=low
cost ^nn++++=cost.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
Abz ^np+++??+=ABZ
can ^md+pos+++=can
also ^rb++++=also
be ^vb+be+aux++=be
used ^vpsv++++=used
to ^to++++=to
treat ^vb++++=treat
giardiasis ^nns+++??+=giardiasis,
, ^zz++++=EXTRAWORD
the ^ati++++=the
effective ^jj++++=effective
regimen ^jj+++xvbn+=regimen
for ^in++++=for
this ^dt+dem+++=this
indication ^nn+nom+++=indication
is ^vbz+bez+vrb++=is
400 ^cd++++=400
mg ^nnu++++=mg
per ^nnu++++=per
day ^nn++++=day
for ^in++++=for
five ^cd++++=five
days ^nns++++=days.
. ^zz++++=EXTRAWORD
In ^in++++=In
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
Abz ^np+++??+=ABZ
is ^vbz+bez+aux++=is
provided ^vpsv++agls+xvbnx+=provided
free ^jj++++=free
of ^in++++=of
charge ^nn++++=charge
by ^in++++=by
the ^ati++++=the
Unified ^jj+atrb++xvbn+=Unified
Health ^nn++++=Health
System ^nn++++=System
for ^in++++=for
geohelminthiasis ^nns+++??+=geohelminthiasis
control ^nn++++=control
and ^cc++++=and
is ^vbz+bez+vrb++=is
available ^jj+pred+++=available
as ^ql++++=as
400 ^cd++++=400
mg ^nnu++++=mg
chewable ^jj+atrb+++=chewable
tablets ^nns+nom+++=tablets
administered ^vbd+++xvbn+=administered
in ^in++++=in
a ^at++++=a
single ^jj+atrb+++=single
dose ^nn++++=dose.
. ^zz++++=EXTRAWORD
