Law ^nn++++=Law
11,206 ^cd++++=11,206/2005,
proposed ^jj+++xvbn+=proposed
in ^in++++=in
2004 ^cd++++=2004,
, ^zz++++=EXTRAWORD
established ^j+++xvbn+=established
Prouni ^np+++??+=ProUni
and ^cc++++=and
mandated ^vbd+++xvbn+=mandated
the ^ati++++=the
implementation ^nn+nom+++=implementation
of ^in++++=of
a ^at++++=a
semiannual ^jj+atrb+++=semiannual
selection ^nn+nom+++=selection
process ^nns+nom+++=process;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
explicitly ^rb++++=explicitly
address ^nns+nom+++=address
distance ^nn+nom+++=distance
education ^nn+nom+++=education.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
some ^dti++++=some
sources ^nns++++=sources
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
Prouni ^np+++??+=ProUni
scholarships ^nns+nom+++=scholarships
are ^vb+ber+vrb++=are
available ^jj+pred+++=available
for ^in++++=for
distance ^nn+nom+++=distance
education ^nn+nom+++=education
programs ^nns+++??+=programs,
, ^zz++++=EXTRAWORD
candidates ^nns+nom+++=candidates
do ^vb+do+aux++=do
not ^xnot++not++=not
encounter ^nn+nom+++=encounter
this ^dt+dem+++=this
option ^nn++++=option
during ^in++++=during
the ^ati++++=the
registration ^nn+nom+++=registration
process ^nns+nom+++=process.
. ^zz++++=EXTRAWORD
Segenreich ^np+++??+=Segenreich
( ^zz++++=(2009)
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
reports ^nns++++=reports
that ^tht+ncmp+++=that,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
possibility ^nn+nom+++=possibility
of ^in++++=of
extending ^xvbg+++xvbg+=extending
Prouni ^np+++??+=ProUni
to ^in++++=to
distance ^nn+nom+++=distance
education ^nn+nom+++=education
was ^vbd+bedz+aux++=was
considered ^vpsv++agls+xvbnx+=considered
in ^in++++=in
2006 ^cd++++=2006,
, ^zz++++=EXTRAWORD
by ^in++++=by
2009 ^cd++++=2009
only ^rb+down+++=only
six ^cd++++=six
institutions ^nns+nom+++=institutions
from ^in++++=from
other ^ap++++=other
states ^np++++=states
offered ^vbd+++xvbn+=offered
Prouni ^np+++??+=ProUni-supported
- ^zz++++=EXTRAWORD
supported ^vbd+++xvbn+=EXTRAWORD
distance ^nn+nom+++=distance
education ^nn+nom+++=education
programs ^nns+++??+=programs
in ^in++++=in
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
Par ^&fw++++=Par
. ^zz++++=.
Information ^nn+nom+++=Information
from ^in++++=from
other ^ap++++=other
sources ^nns++++=sources
remains ^vbz++++=remains
inconsistent ^jj++++=inconsistent
and ^cc++++=and
unclear ^nn+++??+=unclear.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Ministry ^nn++++=Ministry
of ^in++++=of
Education ^nn+nom+++=Education
s ^zz++++=s
website ^nn++++=website
does ^vbz+doz+aux++=does
not ^xnot++not++=not
provide ^vb+vsua+tht0++=provide
data ^nns++++=data
disaggregated ^vwbn+++xvbn+=disaggregated
by ^in++++=by
teaching ^xvbg+++xvbg+=teaching
modality ^nn+nom+++=modality.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
students ^nns++++=students
who ^whp+rel+obj++=who
self ^nn++++=self-finance
- ^zz++++=EXTRAWORD
finance ^nn+nom+++=EXTRAWORD
their ^pp$+pp3+++=their
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
22 ^cd++++=22%
% ^zz++++=EXTRAWORD
indicated ^vprf+++xvbn+=indicated
that ^tht+vcmp+++=that
financial ^jj+atrb+++=financial
constraints ^nns+++??+=constraints
might ^md+pos+++=might
lead ^vb++++=lead
them ^pp3o+pp3+++=them
to ^to++++=to
discontinue ^vbi++++=discontinue
their ^pp$+pp3+++=their
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
60 ^cd++++=60%
% ^zz++++=EXTRAWORD
identified ^xvbn+++xvbn+=identified
changes ^nns++++=changes
in ^in++++=in
labor ^nn++++=labor
market ^nn++++=market
conditions ^nns+nom+++=conditions
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
pandemic ^jj++++=pandemic
as ^ql++++=as
a ^at++++=a
factor ^nn++++=factor
influencing ^vwbg+++xvbg+=influencing
their ^pp$+pp3+++=their
decision ^nn++++=decision
to ^to+ncmp+++=to
persist ^nn+nom+++=persist
in ^in++++=in
higher ^jjr+atrb+++=higher
education ^nn+nom+++=education
( ^zz++++=(Brazilian
brazilian ^jj+atrb+++=EXTRAWORD
association ^nn+nom+++=Association
of ^in++++=of
higher ^jjr+atrb+++=Higher
education ^nn+nom+++=Education
administrators ^nns++++=Administrators
2020b ^cd++++=2020b).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
