However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
closer ^rbr++++=closer
examination ^nn+nom+++=examination
of ^in++++=of
( ^zz++++=(15),
15 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
restated ^xvbn+++xvbn+=restated
below ^in+pl+++=below
as ^in++++=as
( ^zz++++=(52),
52 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
becomes ^vbz++++=becomes
apparent ^jj++++=apparent
that ^tht+jcmp+++=that
its ^pp$+it+++=its
behavior ^nn++++=behavior
is ^vbz+bez+vrb++=is
identical ^jj+pred+++=identical
to ^to++++=to
that ^cs+sub+++=that
of ^in++++=of
( ^zz++++=(47).
47 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
