Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
certain ^jj+atrb+++=certain
plant ^nn++++=plant
families ^nns++++=families
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
to ^to+vcmp+++=to
be ^vbi++vrb++=be
exclusive ^jj+pred+++=exclusive
to ^in++++=to
individual ^jj+atrb+++=individual
sites ^nns++++=sites,
, ^zz++++=EXTRAWORD
as ^in++++=as
shown ^nn++++=shown
in ^in++++=in
Table ^nn++++=Table
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
with ^in+cmpx+++=with
the ^in"++++=the
exception ^in"++++=exception
of ^in"++++=of
Pb ^np+++??+=PB,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
no ^at++++=no
exclusive ^jj+atrb+++=exclusive
families ^nns++++=families
were ^vbd+bed+aux++=were
recorded ^vpsv++agls+xvbnx+=recorded.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
Rz ^np+++??+=RZ,
, ^zz++++=EXTRAWORD
14 ^cd++++=14
exclusive ^jj+atrb+++=exclusive
families ^nns++++=families
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
four ^cd++++=four
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
aquatic ^jj+atrb+++=aquatic
habitats ^nns+++??+=habitats:
: ^zz++++=EXTRAWORD
Arecaceae ^np+++??+=Arecaceae
( ^zz++++=(3
3 ^zz++++=EXTRAWORD
species ^nn++++=species),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ceratophyllaceae ^np+++??+=Ceratophyllaceae
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
species ^nn++++=species),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Hydrocharitaceae ^np+++??+=Hydrocharitaceae
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
species ^nn++++=species),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Salviniaceae ^np+++??+=Salviniaceae
( ^zz++++=(1
