Altitudinal ^np+nom++??+=Altitudinal
zones ^nns++++=zones
Ii ^np+++??+=II
and ^cc++++=and
Iii ^np+++??+=III
contained ^vbd+++xvbn+=contained
the ^ati++++=the
highest ^jjt+atrb+++=highest
number ^nn++++=number
of ^in++++=of
families ^nns++++=families,
, ^zz++++=EXTRAWORD
with ^in++++=with
12 ^cd++++=12
and ^cc++++=and
17 ^cd++++=17
families ^nns++++=families,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
4 ^zz++++=4).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
families ^nns++++=families
were ^vbd+bed+aux++=were
restricted ^vpsv++agls+xvbnx+=restricted
to ^in++++=to
a ^at++++=a
single ^jj+atrb+++=single
altitudinal ^nn+nom+++=altitudinal
zone ^nn++++=zone:
: ^zz++++=EXTRAWORD
Pterobryaceae ^np+++??+=Pterobryaceae
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
species ^nn++++=species)
) ^zz++++=EXTRAWORD
in ^in++++=in
zone ^nn++++=zone
I ^pp1a+pp1+++=I;
; ^zz++++=EXTRAWORD
Orthotrichaceae ^np+++??+=Orthotrichaceae
( ^zz++++=(2
2 ^zz++++=EXTRAWORD
species ^nn++++=species),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Calymperaceae ^np+++??+=Calymperaceae,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Rhacocarpaceae ^np+++??+=Rhacocarpaceae
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
species ^nn++++=species
each ^dt++++=each)
) ^zz++++=EXTRAWORD
in ^in++++=in
zone ^nn++++=zone
Ii ^np+++??+=II;
; ^zz++++=EXTRAWORD
Mniaceae ^np+++??+=Mniaceae
( ^zz++++=(2
2 ^zz++++=EXTRAWORD
species ^nn++++=species),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Phyllogoniaceae ^np+++??+=Phyllogoniaceae,
, ^zz++++=EXTRAWORD
Pilotrichaceae ^np+++??+=Pilotrichaceae,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Neckeraceae ^np+++??+=Neckeraceae
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
species ^nn++++=species
each ^dt++++=each)
) ^zz++++=EXTRAWORD
in ^in++++=in
zone ^nn++++=zone
Iii ^np+++??+=III;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Hedwigiaceae ^np+++??+=Hedwigiaceae
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
species ^nn++++=species)
) ^zz++++=EXTRAWORD
in ^in++++=in
zone ^nn++++=zone
Iv ^np+++??+=IV.
. ^zz++++=EXTRAWORD
The ^ati++++=The
family ^nn++++=family
Bryaceae ^np+++??+=Bryaceae
was ^vbd+bedz+vrb++=was
the ^ati++++=the
most ^ql+emph+++=most
widespread ^jj++++=widespread,
, ^zz++++=EXTRAWORD
occurring ^vbg+++xvbg+=occurring
in ^in++++=in
all ^abn++++=all
zones ^nns++++=zones,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
exhibited ^vprf+++xvbn+=exhibited
the ^ati++++=the
highest ^jjt+atrb+++=highest
species ^nns++++=species
richness ^nns+nom+++=richness
in ^in++++=in
zone ^nn++++=zone
Iii ^np+++??+=III,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
total ^nn++++=total
of ^in++++=of
four ^cd++++=four
species ^nn++++=species.
. ^zz++++=EXTRAWORD
A ^at++++=A
diagnostic ^jj+atrb+++=diagnostic
characterization ^nn+nom+++=characterization
of ^in++++=of
endemic ^jj+atrb+++=endemic
species ^nn++++=species
and ^cc++++=and
new ^jj+atrb+++=new
records ^nns++++=records
( ^zz++++=(indicated
indicated ^vpsv++by+xvbn+=EXTRAWORD
by ^in++++=by
