Based ^xvbn+++xvbn+=Based
on ^in++++=on
this ^dt+dem+++=this
theoretical ^jj+atrb+++=theoretical
framework ^nn++++=framework,
, ^zz++++=EXTRAWORD
governance ^nn+nom+++=governance
is ^vbz+bez+aux++=is
conceptualized ^vpsv++agls+xvbnx+=conceptualized
as ^in++++=as
a ^at++++=a
higher ^jjr++++=higher-order
- ^zz++++=EXTRAWORD
order ^to++++=EXTRAWORD
abstraction ^nn+nom+++=abstraction
that ^tht+rel+obj++=that
functions ^nns+nom+++=functions
through ^in++++=through
a ^at++++=a
set ^nn+++xvbn+=set
of ^in++++=of
dimensions ^nns++++=dimensions.
. ^zz++++=EXTRAWORD
Harris ^np++++=Harris
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2015),
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
among ^in++++=among
others ^aps++++=others,
, ^zz++++=EXTRAWORD
identified ^xvbn+++xvbn+=identified
theoretical ^jj++++=theoretical
attributes ^vbz++++=attributes
that ^dt+dem+++=that
may ^md+pos+++=may
serve ^vb++++=serve
as ^ql++++=as
determinants ^nns+nom+++=determinants
of ^in++++=of
governance ^nn+nom+++=governance
and ^cc++++=and
treated ^vbd+++xvbn+=treated
these ^dt+dem+++=these
as ^in++++=as
latent ^jj+atrb+++=latent
variables ^nns++++=variables,
, ^zz++++=EXTRAWORD
adopting ^vbg+++xvbg+=adopting
a ^at++++=a
reflective ^jj+atrb+++=reflective
measurement ^nn+nom+++=measurement
model ^nn++++=model
for ^in++++=for
the ^ati++++=the
constructs ^nn++++=constructs.
. ^zz++++=EXTRAWORD
Accordingly ^rb+cnj+++=Accordingly,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
this ^dt+dem+++=this
research ^nn++++=research,
, ^zz++++=EXTRAWORD
the ^ati++++=the
observable ^jj+atrb+++=observable
variables ^nns++++=variables
( ^zz++++=(proxies)
proxies ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
indicators ^vb++++=indicators
that ^tht+vcmp+subj++=that
reflect ^vb+vprv+++=reflect
the ^ati++++=the
underlying ^jj++++=underlying
theoretical ^jj++++=theoretical
constructs ^vbz++++=constructs.
. ^zz++++=EXTRAWORD
