Historical ^jj+atrb+++=Historical
and ^cc+phrs+++=and
contemporary ^jj+atrb+++=contemporary
processes ^nns+nom+++=processes
of ^in++++=of
discrimination ^nn+nom+++=discrimination,
, ^zz++++=EXTRAWORD
inequality ^nn+nom+++=inequality,
, ^zz++++=EXTRAWORD
stigmatization ^nn+nom+++=stigmatization,
, ^zz++++=EXTRAWORD
injustice ^nn++++=injustice,
, ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
exclusion ^nn++++=exclusion,
, ^zz++++=EXTRAWORD
racism ^nn++++=racism,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
violence ^nn+nom+++=violence
have ^vb+hv+aux++=have
impacted ^vprf+++xvbnx+=impacted
various ^jj+atrb+++=various
sectors ^nns++++=sectors
of ^in++++=of
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
population ^nn+nom+++=population,
, ^zz++++=EXTRAWORD
including ^in++++=including
women ^nns++++=women,
, ^zz++++=EXTRAWORD
Black ^jj+atrb+++=Black
individuals ^nns+nom+++=individuals,
, ^zz++++=EXTRAWORD
Indigenous ^jj+atrb+++=Indigenous
peoples ^nns++++=peoples,
, ^zz++++=EXTRAWORD
immigrants ^nns+nom+++=immigrants,
, ^zz++++=EXTRAWORD
people ^nns++++=people
experiencing ^vwbg+++xvbg+=experiencing
homelessness ^nns+nom+++=homelessness,
, ^zz++++=EXTRAWORD
the ^ati++++=the
elderly ^jj++++=elderly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
students ^nns++++=students
in ^in++++=in
special ^jj+atrb+++=special
education ^nn+nom+++=education.
. ^zz++++=EXTRAWORD
The ^ati++++=The
colonial ^jj+atrb+++=colonial
history ^nn++++=history
of ^in++++=of
the ^ati++++=the
Americas ^nps++++=Americas
subjected ^vwbn+++xvbn+=subjected
large ^jj+atrb+++=large
numbers ^nns+nom+++=numbers
of ^in++++=of
individuals ^nns+nom+++=individuals
to ^in++++=to
conditions ^nns+nom+++=conditions
of ^in++++=of
oppression ^nn++++=oppression.
. ^zz++++=EXTRAWORD
