These ^dt+dem+++=These
observations ^nns+nom+++=observations
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
challenge ^vbi++++=challenge
Emonds ^np+++??+=Emonds
( ^zz++++=(1979)
1979 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
generalization ^nn+nom+++=generalization
regarding ^in++++=regarding
the ^ati++++=the
impossibility ^nn+nom+++=impossibility
of ^in++++=of
free ^jj+atrb+++=free
relatives ^nns++++=relatives
with ^in++++=with
appositive ^jj+atrb+++=appositive
content ^nn++++=content,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
the ^ati++++=the
generalization ^nn+nom+++=generalization
may ^md+pos+++=may
not ^xnot++not++=not
be ^vb+be+vrb++=be
entirely ^rb+amp+++=entirely
accurate ^jj+pred+++=accurate.
. ^zz++++=EXTRAWORD
Further ^jjb+atrb+++=Further
analysis ^nn++++=analysis
and ^cc++++=and
discussion ^nn++++=discussion
of ^in++++=of
the ^ati++++=the
approach ^nn++++=approach
adopted ^vbd+++xvbn+=adopted
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
will ^md+prd+++=will
be ^vb+be+aux++=be
provided ^vpsv++agls+xvbn+=provided
in ^in++++=in
future ^jjb+atrb+++=future
research ^nn++++=research.
. ^zz++++=EXTRAWORD
