Data ^nns++++=Data
processing ^vwbg+++xvbg+=processing
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
the ^ati++++=the
R ^zz++++=R
software ^nn+++??+=software
environment ^nn+nom+++=environment
( ^zz++++=(R
r ^zz++++=EXTRAWORD
Core ^nn++++=Core
Team ^nn++++=Team,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
psych ^nn+++??+=psych
package ^nn+nom+++=package
was ^vbd+bedz+aux++=was
utilized ^vpsv++agls+xvbnx+=utilized
for ^in++++=for
correlation ^nn+nom+++=correlation
analyses ^nns++++=analyses,
, ^zz++++=EXTRAWORD
Factominer ^np+nom++??+=FactoMineR
and ^cc++++=and
nfactors ^nns++++=nFactors
were ^vbd+bed+aux++=were
employed ^vpsv++agls+xvbnx+=employed
for ^in++++=for
multiple ^jj+atrb+++=multiple
correspondence ^nn+nom+++=correspondence
analysis ^nn++++=analysis
( ^zz++++=(MCA),
mca ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
plspm ^nn+++??+=plspm
package ^nn+nom+++=package
was ^vbd+bedz+aux++=was
used ^vpsv++agls+xvbnx+=used
for ^in++++=for
partial ^jj++++=partial
least ^ql++++=least
squares ^nns++++=squares
structural ^jj+atrb+++=structural
equation ^nn+nom+++=equation
modeling ^nn+nom+++=modeling
( ^zz++++=(PLS-SEM).
pls ^nns++++=EXTRAWORD
-sem). ^nn++++=EXTRAWORD
