Macambira ^np+++??+=Macambira
( ^zz++++=(1998),
1998 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
analyzing ^jj+++xvbg+=analyzing
the ^ati++++=the
morphosyntactic ^jj+atrb+++=morphosyntactic
properties ^nns++++=properties
of ^in++++=of
quem ^nn+++??+=quem,
, ^zz++++=EXTRAWORD
demonstrates ^nns+nom+++=demonstrates
that ^tht+vcmp+++=that
it ^pp3+it+++=it
can ^md+pos+++=can
function ^nn+nom+++=function
as ^ql++++=as
an ^at++++=an
indefinite ^jj++++=indefinite
interrogative ^jj++++=interrogative
( ^zz++++=(23),
23 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
an ^at++++=an
ordinary ^jj+atrb+++=ordinary
relative ^jj+atrb+++=relative
pronoun ^nn++++=pronoun
( ^zz++++=(24),
24 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
indefinite ^jj++++=indefinite
relative ^jj++++=relative
( ^zz++++=(25).
25 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
in ^in++++=in
each ^dt++++=each
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
quem ^nn+++??+=quem
is ^vbz+bez+aux++=is
treated ^vpsv++agls+xvbnx+=treated
as ^ql++++=as
a ^at++++=a
distinct ^jj+atrb+++=distinct
element ^nn+nom+++=element
with ^in++++=with
specific ^jj+atrb+++=specific
morphosyntactic ^nn++++=morphosyntactic
features ^nns++++=features.
. ^zz++++=EXTRAWORD
