Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
employed ^vbd+++xvbn+=employed
descriptive ^jj+atrb+++=descriptive
statistics ^nns++++=statistics
to ^in++++=to
analyze ^nn+++??+=analyze
microdata ^nn+++??+=microdata
obtained ^vwbn+++xvbn+=obtained
from ^in++++=from
surveys ^nns++++=surveys,
, ^zz++++=EXTRAWORD
evaluations ^nns+nom+++=evaluations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
examinations ^nns+nom+++=examinations
conducted ^vwbn+++xvbn+=conducted
by ^in++++=by
the ^ati++++=the
National ^jj+atrb+++=National
Institute ^nn++++=Institute
of ^in++++=of
educational ^jj+atrb+++=Educational
studies ^nns++++=Studies
and ^cc++++=and
research ^nn++++=Research
an ^at++++=An
sio ^nn++++=sio
teixeira ^np++++=Teixeira
( ^zz++++=(INEP).
inep ^nn++++=EXTRAWORD
). ^nn++++=EXTRAWORD
