Regarding ^in++++=Regarding
the ^ati++++=the
calculation ^nn+nom+++=calculation
of ^in++++=of
the ^ati++++=the
Similarity ^nn+nom+++=Similarity
Index ^nn++++=Index,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Valley ^nn++++=Valley
Plain ^nn++++=Plain
and ^cc++++=and
the ^ati++++=the
Foot ^nn++++=Foot
of ^in++++=of
Escarpment ^np+nom++??+=Escarpment
exhibited ^vbd+++xvbn+=exhibited
the ^ati++++=the
highest ^jjt+atrb+++=highest
degree ^nn++++=degree
of ^in++++=of
species ^nns++++=species
overlap ^nn++++=overlap.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
Similarity ^nn+nom+++=Similarity
Index ^nn++++=Index
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
between ^in++++=between
the ^ati++++=the
Valley ^nn++++=Valley
Plain ^nn++++=Plain
and ^cc++++=and
the ^ati++++=the
Riparian ^np+++??+=Riparian
Zone ^nn++++=Zone,
, ^zz++++=EXTRAWORD
with ^in++++=with
these ^dt+dem+++=these
sites ^nns++++=sites
sharing ^vbg+++xvbg+=sharing
only ^rb+down+++=only
species ^nns++++=species
characterized ^jj++++=characterized
by ^in++++=by
wide ^jj+atrb+++=wide
distribution ^nn+nom+++=distribution.
. ^zz++++=EXTRAWORD
