As ^in++++=As
discussed ^nn++++=discussed
in ^in++++=in
section ^nn+nom+++=section
1.3 ^cd++++=1.3,
, ^zz++++=EXTRAWORD
the ^ati++++=the
appositive ^nn++++=appositive
in ^in++++=in
( ^zz++++=(52)
52 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
standard ^nn++++=standard
Cp ^np+++??+=CP
referred ^vbd+++xvbn+=referred
to ^in++++=to
here ^rn+pl+++=here
as ^in++++=as
a ^at++++=a
Dp ^np+++??+=DP-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
Cp ^np+++??+=CP
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
directly ^rb++splt++=directly
selected ^vpsv++by+xvbnx+=selected
by ^in++++=by
the ^ati++++=the
matrix ^nn++++=matrix
verb ^nn++++=verb
and ^cc++++=and
juxtaposed ^vpsv++agls+xvbn+=juxtaposed
to ^in++++=to
the ^ati++++=the
nominal ^jj+atrb+++=nominal
anchor ^nn++++=anchor
uma ^nn+++??+=uma
s ^zz++++=s
coisa ^nn+++??+=coisa.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
observation ^nn+nom+++=observation
raises ^vbz++++=raises
the ^ati++++=the
possibility ^nn+nom+++=possibility
that ^tht+ncmp+++=that
the ^ati++++=the
Wh ^np+++??+=Wh-sentence
- ^zz++++=EXTRAWORD
sentence ^nn+nom+++=EXTRAWORD
in ^in++++=in
( ^zz++++=(47)
47 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
may ^md+pos+++=may
also ^rb++++=also
be ^vb+be+aux++=be
juxtaposed ^vpsv++agls+xvbnx+=juxtaposed
to ^in++++=to
the ^ati++++=the
nominal ^jj+atrb+++=nominal
Um ^uh++++=Um
f ^zz++++=f
teu ^nn+++??+=teu.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
ordinary ^jj+atrb+++=ordinary
appositive ^jj+atrb+++=appositive
relative ^jj+atrb+++=relative
clauses ^nns++++=clauses
are ^vb+ber+aux++=are
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
behave ^vbi++++=behave
differently ^rb++++=differently;
; ^zz++++=EXTRAWORD
specifically ^rb+cnj+++=specifically,
, ^zz++++=EXTRAWORD
an ^at++++=an
appositive ^jj+atrb+++=appositive
relative ^jj+atrb+++=relative
clause ^nn++++=clause
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
juxtaposed ^vpsv++agls+xvbnx+=juxtaposed
to ^in++++=to
its ^pp$+it+++=its
anchor ^nn++++=anchor
because ^cs+cos+++=because
the ^ati++++=the
anchor ^nn++++=anchor
is ^vbz+bez+vrb++=is
the ^ati++++=the
nominal ^nn++++=nominal
being ^xvbg+++xvbg+=being
relativized ^vbd+++xvbn+=relativized,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
raised ^vpsv++agls+xvbnx+=raised
from ^in++++=from
within ^in++++=within
the ^ati++++=the
relative ^jj+atrb+++=relative
clause ^nn++++=clause
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
kayne ^np++++=Kayne,
, ^zz++++=EXTRAWORD
1994 ^cd+date+++=1994;
; ^zz++++=EXTRAWORD
bianchi ^np++++=Bianchi,
, ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
