According ^in+cmpx+++=According
to ^in++++=to
Rodr ^np+++??+=Rodr
guez ^nn+++??+=guez
( ^zz++++=(1988),
1988 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
detrimental ^jj+atrb+++=detrimental
consequences ^nns+nom+++=consequences
for ^in++++=for
women ^nns++++=women
is ^vbz+bez+vrb++=is
the ^ati++++=the
internalization ^nn+nom+++=internalization
of ^in++++=of
negative ^jj+atrb+++=negative
self ^nn++++=self-perceptions.
- ^zz++++=EXTRAWORD
perceptions ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
the ^ati++++=the
historical ^jj+atrb+++=historical
oppression ^nn++++=oppression
of ^in++++=of
Black ^jj+atrb+++=Black
women ^nns++++=women
has ^vbz+hvz+aux++=has
resulted ^vprf+++xvbnx+=resulted
in ^in++++=in
a ^at++++=a
particularly ^rb++++=particularly
damaging ^jj+atrb++xvbg+=damaging
outcome ^nn++++=outcome:
: ^zz++++=EXTRAWORD
the ^ati++++=the
systematic ^jj+atrb+++=systematic
erasure ^nn+++??+=erasure
of ^in++++=of
their ^pp$+pp3+++=their
culture ^nn++++=culture,
, ^zz++++=EXTRAWORD
history ^nn++++=history,
, ^zz++++=EXTRAWORD
references ^nns+nom+++=references,
, ^zz++++=EXTRAWORD
talents ^nns++++=talents,
, ^zz++++=EXTRAWORD
abilities ^nns+nom+++=abilities,
, ^zz++++=EXTRAWORD
capacities ^nns+nom+++=capacities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
virtues ^nns++++=virtues.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
process ^nns+nom+++=process
effectively ^rb++++=effectively
eliminates ^nns+nom+++=eliminates
sources ^nns++++=sources
of ^in++++=of
pride ^nn++++=pride,
, ^zz++++=EXTRAWORD
motivation ^nn+nom+++=motivation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
potential ^nn++++=potential
for ^in++++=for
acceptance ^nn+nom+++=acceptance
of ^in++++=of
difference ^nn+nom+++=difference
and ^cc++++=and
individuality ^nn+nom+++=individuality,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
contributing ^vbg+++xvbg+=contributing
to ^to++++=to
their ^pp$+pp3+++=their
social ^jj+atrb+++=social
invisibility ^nn+nom+++=invisibility.
. ^zz++++=EXTRAWORD
