Two ^cd++++=Two
of ^in++++=of
the ^ati++++=the
three ^cd++++=three
most ^ap+emph+++=most
abundant ^jj+atrb+++=abundant
snake ^nn++++=snake
species ^nns++++=species
recorded ^vbd+++xvbn+=recorded
during ^in++++=during
our ^pp$+pp1+++=our
surveys ^nns++++=surveys
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
the ^ati++++=the
family ^nn++++=family
Viperidae ^np+++??+=Viperidae
( ^zz++++=(Bothrops
bothrops ^nns+++??+=EXTRAWORD
jararaca ^nn+++??+=jararaca
and ^cc++++=and
Bothrops ^np+++??+=Bothrops
jararacussu ^nn+++??+=jararacussu),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
commonly ^rb++splt++=commonly
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
mainland ^nn++++=mainland
Atlantic ^np++++=Atlantic
Forest ^nn++++=Forest
areas ^nns++++=areas
( ^zz++++=(Marques
marques ^nns+++??+=EXTRAWORD
& ^zz++++=&
Sazima ^np+++??+=Sazima
2004 ^cd++++=2004;
; ^zz++++=EXTRAWORD
Pontes ^np+++??+=Pontes
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2009 ^cd++++=2009).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
dipsadid ^nn+++??+=dipsadid
Thamnodynastes ^np+++??+=Thamnodynastes
cf ^vb++++=cf.
. ^zz++++=EXTRAWORD
nattereri ^nn+++??+=nattereri
was ^vbd+bedz+vrb++=was
the ^ati++++=the
second ^od++++=second
most ^ql+emph+++=most
abundant ^jj+atrb+++=abundant
species ^nn++++=species
in ^in++++=in
the ^ati++++=the
Pnt ^np+++??+=PNT
and ^cc++++=and
was ^vbd+bedz+vrb++=was
also ^rb++++=also
among ^in++++=among
the ^ati++++=the
most ^ql+emph+++=most
abundant ^jj++++=abundant
in ^in++++=in
the ^ati++++=the
Pnm ^np+++??+=PNM
Serra ^np+++??+=Serra
Do ^vb+do+vrb++=do
Mendanha ^np++++=Mendanha
 ^zz++++=(Pontes
Pontes ^np++++=EXTRAWORD
Et ^&fw++++=et
Al ^&fw++++=al.
 ^zz++++=EXTRAWORD
009 ^cd++++=2009).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
