According ^in++++=According
to ^in++++=to
Social ^jj+atrb+++=Social
Dominance ^nn+nom+++=Dominance
Theory ^nn++++=Theory
( ^zz++++=(TDS),
tds ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
legitimating ^jj+atrb++xvbg+=legitimating
myths ^nns++++=myths
are ^vb+ber+aux++=are
defined ^vpsv++agls+xvbnx+=defined
as ^ql++++=as
a ^at++++=a
combination ^nn+nom+++=combination
of ^in++++=of
prejudice ^nn++++=prejudice,
, ^zz++++=EXTRAWORD
assumptions ^nns+nom+++=assumptions
regarding ^in++++=regarding
the ^ati++++=the
inferiority ^nn+nom+++=inferiority
of ^in++++=of
marginalized ^jj+atrb++xvbn+=marginalized
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
political ^jj+atrb+++=political
conservatism ^nn+nom+++=conservatism
( ^zz++++=(Sidanius
sidanius ^nns+++??+=EXTRAWORD
& ^zz++++=&
Pratto ^np+++??+=Pratto,
, ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
myths ^nns++++=myths
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
enduring ^xvbg+++xvbg+=enduring
ideological ^jj+atrb+++=ideological
narratives ^nns++++=narratives
that ^tht+rel+subj++=that
become ^vprf+++xvbn+=become
institutionalized ^vbd+++xvbn+=institutionalized
and ^cc+phrs+++=and
serve ^vb++++=serve
to ^to++++=to
justify ^vbi++++=justify
existing ^jj+atrb++xvbg+=existing
structures ^nns++++=structures
of ^in++++=of
inequality ^nn+nom+++=inequality
as ^ql++++=as
both ^abx++++=both
fair ^jj++++=fair
and ^cc+phrs+++=and
desirable ^jj++++=desirable
( ^zz++++=(Islam,
islam ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Tds ^np+++??+=TDS
posits ^nns+++??+=posits
that ^tht+rel+obj++=that
factors ^nns++++=factors
such ^abl++++=such
as ^ql++++=as
cultural ^jj+atrb+++=cultural
ideologies ^nns++++=ideologies,
, ^zz++++=EXTRAWORD
discriminatory ^jj+atrb+++=discriminatory
behaviors ^nns++++=behaviors,
, ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
roles ^nns++++=roles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
psychological ^jj+atrb+++=psychological
tendencies ^nns++++=tendencies
toward ^in++++=toward
group ^nn++++=group
prejudice ^nn++++=prejudice
interact ^nn+++??+=interact
to ^to++++=to
sustain ^vbi++++=sustain
social ^jj+atrb+++=social
group ^nn++++=group
hierarchies ^nns+++??+=hierarchies
( ^zz++++=(Pratto
pratto ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
framework ^nn++++=framework
provides ^vbz+vsua+++=provides
a ^at++++=a
systematic ^jj+atrb+++=systematic
explanation ^nn+nom+++=explanation
for ^in++++=for
the ^ati++++=the
persistence ^nn+nom+++=persistence
of ^in++++=of
group ^nn++++=group-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
oppression ^nn++++=oppression,
, ^zz++++=EXTRAWORD
emphasizing ^vbg+++xvbg+=emphasizing
that ^tht+vcmp+++=that
the ^ati++++=the
maintenance ^nn+nom+++=maintenance
of ^in++++=of
social ^jj+atrb+++=social
inequality ^nn+nom+++=inequality
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
merely ^rb+down+++=merely
the ^ati++++=the
result ^nn++++=result
of ^in++++=of
individual ^jj+atrb+++=individual
actions ^nns+nom+++=actions
but ^cc++++=but
is ^vbz+bez+aux++=is
embedded ^vpsv++agls+xvbnx+=embedded
within ^in++++=within
broader ^jjr+atrb+++=broader
systemic ^jj+atrb+++=systemic
processes ^nns+nom+++=processes
( ^zz++++=(Acosta,
acosta ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
