1t ^cd++++=1T
and ^cc++++=and
2t ^cd++++=2T
represent ^vb++++=represent
the ^ati++++=the
midpoints ^nns+++??+=midpoints
of ^in++++=of
the ^ati++++=the
transition ^nn+nom+++=transition
process ^nns+nom+++=process,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
1 ^zz++++=1
and ^cc++++=and
2 ^zz++++=2
denote ^vb+vsua+++=denote
the ^ati++++=the
respective ^jj+atrb+++=respective
transition ^nn+nom+++=transition
rates ^nns++++=rates.
. ^zz++++=EXTRAWORD
Differences ^nns+nom+++=Differences
in ^in++++=in
transition ^nn+nom+++=transition
rates ^nns++++=rates
between ^in++++=between
1 ^zz++++=1
and ^cc++++=and
2 ^zz++++=2
are ^vb+ber+aux++=are
permitted ^vbd+++xvbn+=permitted.
. ^zz++++=EXTRAWORD
