Matriarchy ^np+++??+=Matriarchy
was ^vbd+bedz+aux++=was
positively ^rb++splt++=positively
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
femicide ^nn+++??+=femicide
rates ^nns++++=rates
in ^in++++=in
the ^ati++++=the
municipalities ^nns+nom+++=municipalities
of ^in++++=of
Sergipe ^np+++??+=Sergipe
during ^in++++=during
the ^ati++++=the
study ^nn++++=study
period ^nn++++=period.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
finding ^xvbg+++xvbg+=finding
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
changes ^nns++++=changes
in ^in++++=in
traditional ^jj+atrb+++=traditional
gender ^nn++++=gender
roles ^nns++++=roles
may ^md+pos+++=may
contribute ^vb++++=contribute
to ^to++++=to
increased ^vbi++++=increased
conflict ^nn++++=conflict
by ^in++++=by
challenging ^xvbg+++xvbg+=challenging
prevailing ^jj+atrb++xvbg+=prevailing
patriarchal ^jj+atrb+++=patriarchal
norms ^nns++++=norms.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
attainment ^nn+nom+++=attainment
of ^in++++=of
socioeconomic ^jj+atrb+++=socioeconomic
autonomy ^nn++++=autonomy
by ^in++++=by
women ^nns++++=women
in ^in++++=in
patriarchal ^jj+atrb+++=patriarchal
societies ^nns++++=societies
may ^md+pos+++=may
disrupt ^vbd+++xvbn+=disrupt
established ^vbd+vprv++xvbn+=established
gender ^nn++++=gender
patterns ^nns++++=patterns,
, ^zz++++=EXTRAWORD
potentially ^rb++++=potentially
increasing ^jj++++=increasing
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
femicide ^nn++++=femicide.
. ^zz++++=EXTRAWORD
