3 ^zz++++=3.
. ^zz++++=EXTRAWORD
Deal ^nn++++=Deal
fairly ^rb++++=fairly
with ^in++++=with
professional ^jj+atrb+++=professional
writers ^nns+nom+++=writers:
: ^zz++++=EXTRAWORD
The ^ati++++=The
third ^od++++=third
step ^vb++++=step
concerns ^nns++++=concerns
media ^nns++++=media
articles ^nns++++=articles
and ^cc++++=and
trade ^nn++++=trade
book ^nn++++=book
chapters ^nns+nom+++=chapters
( ^zz++++=(including
including ^in++++=EXTRAWORD
poetry ^nn++++=poetry)
) ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
are ^vb+ber+vrb++=are
not ^xnot++not++=not
institutionally ^rb++++=institutionally
licensed ^jj++++=licensed.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
works ^nns++++=works
are ^vb+ber+aux++=are
primarily ^rb+down+splt++=primarily
produced ^vpsv++by+xvbnx+=produced
by ^in++++=by
professional ^jj+atrb+++=professional
writers ^nns+nom+++=writers
and ^cc++++=and
their ^pp$+pp3+++=their
publishers ^nns+nom+++=publishers,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
in ^in++++=in
our ^pp$+pp1+++=our
view ^nn++++=view,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
receive ^vb++++=receive
appropriate ^jj+atrb+++=appropriate
royalties ^nns++++=royalties.
. ^zz++++=EXTRAWORD
University ^npl+nom+++=University
faculty ^nn++++=faculty
assign ^vb++++=assign
these ^dt+dem+++=these
materials ^nns+nom+++=materials
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
integral ^jj+pred+++=integral
to ^to++++=to
fulfilling ^vbi+nom+++=fulfilling
both ^abx++++=both
their ^pp$+pp3+++=their
own ^ap++++=own
and ^cc++++=and
their ^pp$+pp3+++=their
institution ^nn+nom+++=institution
s ^zz++++=s
instructional ^jj+atrb+++=instructional
objectives ^nns++++=objectives.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
academic ^jj+atrb+++=academic
authors ^nns++++=authors
may ^md+pos+++=may
benefit ^vb++++=benefit
from ^in++++=from
increased ^jj+atrb++xvbn+=increased
reputation ^nn+nom+++=reputation,
, ^zz++++=EXTRAWORD
professional ^jj+atrb+++=professional
authors ^nns++++=authors
are ^vb+ber+aux++=are
equally ^rb++splt++=equally
entitled ^vpsv++agls+xvbnx+=entitled
to ^in++++=to
recognition ^nn+nom+++=recognition
and ^cc++++=and
compensation ^nn+nom+++=compensation,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
being ^xvbg+++xvbg+=being
subject ^nn++++=subject
to ^in++++=to
a ^at++++=a
broad ^jj++++=broad
fair ^jj++++=fair-dealing
- ^zz++++=EXTRAWORD
dealing ^vbg+nom++xvbg+=EXTRAWORD
exception ^nn+nom+++=exception
in ^in++++=in
the ^ati++++=the
Canadian ^jj+atrb+++=Canadian
educational ^jj+atrb+++=educational
market ^nn++++=market,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
serves ^vbz++++=serves
approximately ^rb+down+++=approximately
one ^cd1++++=one
million ^cd++++=million
students ^nns++++=students.
. ^zz++++=EXTRAWORD
Further ^jjb+atrb+++=Further
discussion ^nn++++=discussion
of ^in++++=of
the ^ati++++=the
financial ^jj++++=financial
and ^cc+phrs+++=and
existential ^jj+atrb+++=existential
substantial ^jj+atrb+++=substantial
adverse ^jj+atrb+++=adverse
effect ^nn++++=effect
is ^vbz+bez+aux++=is
provided ^vpsv++agls+xvbn+=provided
below ^rb++++=below.
. ^zz++++=EXTRAWORD
