Femicide ^np+++??+=Femicide
is ^vbz+bez+vrb++=is
a ^at++++=a
sociological ^jj+atrb+++=sociological
concept ^nn++++=concept
that ^tht+rel+subj++=that
has ^vbz+hvz+aux++=has
contributed ^vprf+++xvbnx+=contributed
to ^in++++=to
changes ^nns++++=changes
in ^in++++=in
traditional ^jj+atrb+++=traditional
perceptions ^nns+nom+++=perceptions,
, ^zz++++=EXTRAWORD
public ^jj+atrb+++=public
awareness ^nns+nom+++=awareness,
, ^zz++++=EXTRAWORD
scientific ^jj+atrb+++=scientific
research ^nn++++=research,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
policymaking ^jj+++xvbg+=policymaking
regarding ^in++++=regarding
gender ^nn++++=gender-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
violence ^nn+nom+++=violence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
term ^nn++++=term
is ^vbz+bez+aux++=is
employed ^vpsv++agls+xvbnx+=employed
in ^in++++=in
political ^jj+atrb+++=political
and ^cc+phrs+++=and
academic ^jj+atrb+++=academic
contexts ^nns++++=contexts
to ^to++++=to
specifically ^rb++splt++=specifically
address ^nns+nom+++=address
the ^ati++++=the
violent ^jj+atrb+++=violent
deaths ^nns++++=deaths
of ^in++++=of
women ^nns++++=women,
, ^zz++++=EXTRAWORD
distinguishing ^jj+++xvbg+=distinguishing
these ^dt+dem+++=these
acts ^nns++++=acts
from ^in++++=from
general ^jj+atrb+++=general
homicide ^nn++++=homicide,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
account ^nn++++=account
for ^in++++=for
gender ^nn++++=gender-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
motivations ^nns+nom+++=motivations.
. ^zz++++=EXTRAWORD
The ^ati++++=The
use ^nn++++=use
of ^in++++=of
the ^ati++++=the
term ^nn++++=term
femicide ^nn+++??+=femicide
seeks ^vbz++++=seeks
to ^to+vcmp+++=to
highlight ^vb++++=highlight
the ^ati++++=the
distinct ^jj+atrb+++=distinct
nature ^nn++++=nature
of ^in++++=of
these ^dt+dem+++=these
crimes ^nns++++=crimes,
, ^zz++++=EXTRAWORD
emphasize ^vb++++=emphasize
their ^pp$+pp3+++=their
gendered ^jj+atrb++xvbn+=gendered
dimension ^nn++++=dimension,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
promote ^vb++++=promote
awareness ^nns+nom+++=awareness
of ^in++++=of
their ^pp$+pp3+++=their
societal ^jj+atrb+++=societal
implications ^nns+nom+++=implications.
. ^zz++++=EXTRAWORD
The ^ati++++=The
concept ^nn++++=concept
was ^vbd+bedz+aux++=was
further ^jjb+pred+++=further
developed ^vpsv++by+xvbn+=developed
by ^in++++=by
Radford ^np++++=Radford
and ^cc++++=and
Russell ^np++++=Russell
( ^zz++++=(1992)
1992 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Russell ^np++++=Russell
and ^cc++++=and
Harmes ^np+++??+=Harmes
( ^zz++++=(2001),
2001 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
advanced ^jj+atrb++xvbn+=advanced
femicide ^nn+++??+=femicide
as ^ql++++=as
a ^at++++=a
theoretical ^jj+atrb+++=theoretical
framework ^nn++++=framework
to ^in++++=to
challenge ^nn++++=challenge
and ^cc++++=and
address ^nns+nom+++=address
the ^ati++++=the
structural ^jj+atrb+++=structural
forms ^nns++++=forms
of ^in++++=of
patriarchal ^jj+atrb+++=patriarchal
power ^nn++++=power
that ^tht+rel+subj++=that
contribute ^vb++++=contribute
to ^in++++=to
violence ^nn+nom+++=violence
against ^in++++=against
women ^nns++++=women.
. ^zz++++=EXTRAWORD
