Medeiros ^np+++??+=Medeiros
Junior ^jj++++=Junior
( ^zz++++=(2005)
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
concurs ^nns+++??+=concurs
with ^in++++=with
Rocha ^np++++=Rocha's
's ^$++++=EXTRAWORD
( ^zz++++=(1990)
1990 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
arguing ^vbg+vpub++xvbg+=arguing
that ^tht+vcmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
possible ^jj++++=possible
to ^to+jcmp+++=to
insert ^vbi++++=insert
a ^at++++=a
determiner ^jjr+atrb+++=determiner
phrase ^nn++++=phrase
( ^zz++++=(DP)
dp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
antecedent ^nn++++=antecedent
of ^in++++=of
" ^zz++++="quem"
quem ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
sentences ^nns+nom+++=sentences
of ^in++++=of
this ^dt+dem+++=this
type ^nn++++=type,
, ^zz++++=EXTRAWORD
as ^in++++=as
illustrated ^nn++++=illustrated
in ^in++++=in
example ^nn++++=example
( ^zz++++=(27).
27 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
