Data ^nns++++=Data
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
during ^in++++=during
the ^ati++++=the
first ^rb++++=first
two ^cd++++=two
months ^nns++++=months
of ^in++++=of
2017 ^cd++++=2017
and ^cc++++=and
pertain ^nn+++??+=pertain
to ^in++++=to
the ^ati++++=the
fiscal ^jj+atrb+++=fiscal
year ^nn++++=year
2015 ^cd++++=2015
to ^to++++=to
minimize ^vbi++++=minimize
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
bias ^nn++++=bias
resulting ^vwbg+++xvbg+=resulting
from ^in++++=from
incomplete ^jj+atrb+++=incomplete
information ^nn+nom+++=information.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
was ^vbd+bedz+vrb++=was
necessary ^jj+pred+++=necessary
because ^cs+cos+++=because
the ^ati++++=the
responsible ^jj+atrb+++=responsible
authority ^nn+nom+++=authority
releases ^nns++++=releases
all ^rb++++=all
documents ^nns+nom+++=documents
for ^in++++=for
a ^at++++=a
given ^jj+atrb++xvbn+=given
year ^nn++++=year
only ^rb+down+++=only
in ^in++++=in
the ^ati++++=the
following ^jj+atrb++xvbg+=following
year ^nn++++=year;
; ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
data ^nns++++=data
from ^in++++=from
2016 ^cd++++=2016
or ^cc++++=or
2017 ^cd++++=2017
could ^md+pos+++=could
have ^vb+hv+aux++=have
resulted ^vprf+++xvbn+=resulted
in ^in++++=in
missing ^jj+atrb+++=missing
or ^cc+phrs+++=or
incomplete ^jj+atrb+++=incomplete
records ^nns++++=records.
. ^zz++++=EXTRAWORD
