Accountability ^np+nom++??+=Accountability,
, ^zz++++=EXTRAWORD
consistent ^jj++++=consistent
with ^in++++=with
the ^ati++++=the
principle ^nn++++=principle
outlined ^vwbn+++xvbn+=outlined
by ^in++++=by
the ^ati++++=the
Oecd ^np+++??+=OECD
( ^zz++++=(2004),
2004 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
entails ^vbz++++=entails
an ^at++++=an
administrative ^jj+atrb+++=administrative
body ^nn++++=body
being ^vwbg+beg++xvbg+=being
answerable ^jj++++=answerable
to ^in++++=to
a ^at++++=a
higher ^jjr+atrb+++=higher
authority ^nn+nom+++=authority.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
present ^jj+atrb+++=present
context ^nn++++=context,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+aux++=is
demonstrated ^vpsv++by+xvbnx+=demonstrated
by ^in++++=by
the ^ati++++=the
evaluation ^nn+nom+++=evaluation
of ^in++++=of
the ^ati++++=the
Annual ^nn++++=Annual
Report ^vb++++=Report
submitted ^vpsv++by+xvbn+=submitted
by ^in++++=by
the ^ati++++=the
Npo ^np+++??+=NPO
s ^zz++++=s
chief ^jjb+atrb+++=chief
executive ^nn++++=executive
to ^in++++=to
the ^ati++++=the
General ^jj+atrb+++=General
Assembly ^nn++++=Assembly
or ^cc++++=or
Board ^nn++++=Board
of ^in++++=of
Trustees ^nns+nom+++=Trustees.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
accountability ^nn+nom+++=accountability
extends ^vbz++++=extends
to ^in++++=to
donors ^nns++++=donors
through ^in++++=through
the ^ati++++=the
distribution ^nn+nom+++=distribution
of ^in++++=of
the ^ati++++=the
annual ^jj+atrb+++=Annual
report ^vb++++=Report
to ^to+vcmp+++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
