Stomatal ^np+nom++??+=Stomatal
index ^nn++++=index
( ^zz++++=(SI)
si ^&fw++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
stomatal ^jj+atrb+++=stomatal
density ^nn+nom+++=density
( ^zz++++=(SD)
sd ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
both ^abx++++=both
increased ^jj+++xvbn+=increased
with ^in++++=with
higher ^jjr+atrb+++=higher
levels ^nns++++=levels
of ^in++++=of
radiation ^nn+nom+++=radiation
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
highest ^jjt++++=highest
Si ^&fw++++=SI
and ^cc++++=and
Sd ^np+++??+=SD
values ^nns++++=values
for ^in++++=for
both ^abx++++=both
species ^nn++++=species
were ^vbd+bed+aux++=were
recorded ^vpsv++agls+xvbnx+=recorded
at ^rb++++=at
150 ^cd++++=150
days ^nns++++=days
after ^in++++=after
transplantation ^nn+nom+++=transplantation
( ^zz++++=(DAT)
dat ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
under ^in++++=under
the ^ati++++=the
I0 ^np+++??+=I0
and ^cc++++=and
I25 ^np+++??+=I25
treatments ^nns+nom+++=treatments.
. ^zz++++=EXTRAWORD
For ^in++++=For
M ^zz++++=M.
. ^zz++++=EXTRAWORD
glomerata ^jj+++??+=glomerata
grown ^vwbn+++xvbn+=grown
under ^in++++=under
I0 ^np+++??+=I0,
, ^zz++++=EXTRAWORD
Si ^&fw++++=SI
and ^cc++++=and
Sd ^np+++??+=SD
were ^vbd+bed+vrb++=were
18.05 ^cd++++=18.05%
% ^zz++++=EXTRAWORD
and ^cc++++=and
256 ^cd++++=256
stomata ^nn+++??+=stomata/mm
, ^zz++++=,
respectively ^rb+cnj+++=respectively,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
for ^in++++=for
M ^zz++++=M.
. ^zz++++=EXTRAWORD
laevigata ^nn+++??+=laevigata
under ^in++++=under
the ^ati++++=the
same ^ap++++=same
condition ^nn+nom+++=condition,
, ^zz++++=EXTRAWORD
Si ^&fw++++=SI
and ^cc++++=and
Sd ^np+++??+=SD
were ^vbd+bed+vrb++=were
14.41 ^cd++++=14.41%
% ^zz++++=EXTRAWORD
and ^cc++++=and
176 ^cd++++=176
stomata ^nn+++??+=stomata/mm
, ^zz++++=,
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
Across ^in+pl+++=Across
all ^abn++++=all
levels ^nns++++=levels
of ^in++++=of
solar ^jj+atrb+++=solar
irradiance ^nn+nom+++=irradiance,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
glomerata ^nn+++??+=glomerata
consistently ^rb++++=consistently
exhibited ^vprf+++xvbn+=exhibited
higher ^jjr++++=higher
Si ^&fw++++=SI
And ^cc++++=and
Sd ^np++++=SD
Values ^nns++++=values
Compared ^vbd+++xvbn+=compared
To ^in++++=to
M ^zz++++=M.
 ^zz++++=EXTRAWORD
Laevigata ^nn++++=laevigata.
 ^zz++++=EXTRAWORD
