To ^in++++=To
better ^jjr++++=better
understand ^vb+vprv+++=understand
the ^ati++++=the
extent ^nn++++=extent
of ^in++++=of
missing ^xvbg+++xvbg+=missing
data ^nns++++=data,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
analyzed ^vbd+++xvbn+=analyzed
the ^ati++++=the
2020 ^cd++++=2020
ranking ^nvbg+++xvbg+=ranking,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
includes ^vb++++=includes
1,788 ^cd++++=1,788
academic ^jj+atrb+++=academic
institutions ^nns+nom+++=institutions.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
39.84 ^cd++++=39.84%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
data ^nns++++=data
are ^vb+ber+aux++=are
missing ^vbg+++xvbgx+=missing,
, ^zz++++=EXTRAWORD
5.70 ^cd++++=5.70%
% ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
not ^xnot++not++=not
applicable ^jj++++=applicable,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
54.46 ^cd++++=54.46%
% ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
available ^jj+pred+++=available.
. ^zz++++=EXTRAWORD
Brazilian ^jj+atrb+++=Brazilian
institutions ^nns+nom+++=institutions
have ^vb+hv+vrb++=have
approximately ^rb+down+++=approximately
10 ^cd++++=10%
% ^zz++++=EXTRAWORD
less ^rbr++++=less
available ^jj+atrb+++=available
data ^nns++++=data
compared ^vbd+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
global ^jj+atrb+++=global
average ^nn+nom+++=average.
. ^zz++++=EXTRAWORD
A ^at++++=A
further ^jjb+atrb+++=further
comparison ^nn++++=comparison
can ^md+pos+++=can
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
with ^in++++=with
European ^jj+atrb+++=European
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
Spain ^np++++=Spain,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
that ^dt+dem+++=that
U ^zz++++=U-Multirank
- ^zz++++=EXTRAWORD
multirank ^nn+++??+=EXTRAWORD
originated ^vbd+++xvbn+=originated
in ^in++++=in
Europe ^np++++=Europe.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
79 ^cd++++=79
Spanish ^jj+atrb+++=Spanish
educational ^jj+atrb+++=educational
institutions ^nns+nom+++=institutions
included ^vbd+++xvbn+=included
in ^in++++=in
the ^ati++++=the
2020 ^cd++++=2020
edition ^nn+nom+++=edition,
, ^zz++++=EXTRAWORD
86.15 ^cd++++=86.15%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
data ^nns++++=data
are ^vb+ber+vrb++=are
available ^jj+pred+++=available.
. ^zz++++=EXTRAWORD
Spain ^np++++=Spain
serves ^vbz++++=serves
as ^in++++=as
an ^at++++=an
appropriate ^jj+atrb+++=appropriate
benchmark ^nn+++??+=benchmark
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
its ^pp$+it+++=its
substantial ^jj+atrb+++=substantial
representation ^nn+nom+++=representation
in ^in++++=in
the ^ati++++=the
ranking ^nvbg+++xvbg+=ranking.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
Brazilian ^jj+atrb+++=Brazilian
institutions ^nns+nom+++=institutions
have ^vb+hv+vrb++=have
approximately ^rb+down+++=approximately
40 ^cd++++=40%
% ^zz++++=EXTRAWORD
less ^rbr++++=less
available ^jj+atrb+++=available
data ^nns++++=data
than ^in++++=than
their ^pp$+pp3+++=their
spanish ^jj+atrb+++=Spanish
counterparts ^nns++++=counterparts.
. ^zz++++=EXTRAWORD
