Among ^in++++=Among
the ^ati++++=the
indigenous ^nn++++=indigenous
schoolchildren ^vbd+++xvbn+=schoolchildren
included ^vbd+++xvbn+=included
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
the ^ati++++=the
age ^nn++++=age
group ^nn++++=group
most ^ql+emph+++=most
affected ^vpsv++by+xvbn+=affected
by ^in++++=by
helminth ^nn+++??+=helminth
infection ^nn+nom+++=infection
was ^vbd+bedz+vrb++=was
five ^cd++++=five
to ^to++++=to
nine ^cd++++=nine
years ^nns++++=years,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
exhibited ^vbd+++xvbn+=exhibited
a ^at++++=a
significant ^jj+atrb+++=significant
increase ^nn++++=increase
in ^in++++=in
infection ^nn+nom+++=infection
frequency ^nn++++=frequency
from ^in++++=from
14 ^cd++++=14%
% ^zz++++=EXTRAWORD
to ^to++++=to
37.4 ^cd++++=37.4%
% ^zz++++=EXTRAWORD
following ^jj+atrb++xvbg+=following
mass ^nn++++=mass
treatment ^nn+nom+++=treatment
of ^in++++=of
the ^ati++++=the
population ^nn+nom+++=population
( ^zz++++=(p
p ^zz++++=EXTRAWORD
= ^zz++++==
0.0185 ^nn+++??+=0.0185).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Younger ^jjr+atrb+++=Younger
children ^nns++++=children
represent ^vb++++=represent
a ^at++++=a
key ^jjb+atrb+++=key
risk ^nn++++=risk
group ^nn++++=group
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
their ^pp$+pp3+++=their
frequent ^jj+atrb+++=frequent
contact ^nn++++=contact
with ^in++++=with
contaminated ^jj+atrb++xvbn+=contaminated
soil ^nn++++=soil
and ^cc++++=and
underdeveloped ^jj+atrb+++=underdeveloped
hygienic ^jj+atrb+++=hygienic
practices ^nns++++=practices.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
finding ^jj+atrb++xvbg+=finding
underscores ^nns+++??+=underscores
the ^ati++++=the
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
implement ^nn+nom+++=implement
additional ^jj+atrb+++=additional
control ^nn++++=control
strategies ^nns+++??+=strategies
beyond ^in++++=beyond
pharmacological ^jj+atrb+++=pharmacological
interventions ^nns+nom+++=interventions.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
current ^jj+atrb+++=current
recommendations ^nns+nom+++=recommendations
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
the ^ati++++=the
assessment ^nn+nom+++=assessment
of ^in++++=of
parasitological ^jj+atrb+++=parasitological
health ^nn++++=health
indicators ^nns++++=indicators
should ^md+nec+++=should
include ^vb++++=include
evaluation ^nn+nom+++=evaluation
of ^in++++=of
reductions ^nns+nom+++=reductions
in ^in++++=in
parasite ^nn++++=parasite
burden ^nn++++=burden,
, ^zz++++=EXTRAWORD
no ^at++++=no
quantitative ^jj+atrb+++=quantitative
methods ^nns++++=methods
were ^vbd+bed+aux++=were
employed ^vpsv++agls+xvbnx+=employed
during ^in++++=during
the ^ati++++=the
coproparasitological ^jj+atrb+++=coproparasitological
examinations ^nns+nom+++=examinations
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
representing ^vbg+++xvbg+=representing
a ^at++++=a
limitation ^nn+nom+++=limitation.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
possible ^jj++++=possible
to ^to+jcmp+++=to
determine ^vbi++++=determine
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
the ^ati++++=the
intervention ^nn+nom+++=intervention
on ^in++++=on
the ^ati++++=the
intensity ^nn+nom+++=intensity
of ^in++++=of
geohelminth ^nn++++=geohelminth
infections ^nns+nom+++=infections.
. ^zz++++=EXTRAWORD
