Visual ^jj+atrb+++=Visual
inspection ^nn+nom+++=inspection
alone ^rb++++=alone
indicates ^nns+nom+++=indicates
potential ^jj+atrb+++=potential
changes ^nns++++=changes
between ^in++++=between
periods ^nns++++=periods
but ^cc++++=but
does ^vbz+doz+aux++=does
not ^xnot++not++=not
provide ^vb+vsua+++=provide
sufficient ^jj+atrb+++=sufficient
evidence ^nn+nom+++=evidence
to ^to++++=to
assess ^vbi++++=assess
consistency ^nn++++=consistency.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
evaluated ^vbd+++xvbn+=evaluated
whether ^cs+who+++=whether
the ^ati++++=the
differences ^nns+nom+++=differences
in ^in++++=in
means ^nn++++=means
were ^vbd+bed+vrb++=were
statistically ^rb++++=statistically
significant ^jj+pred+++=significant
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
average ^jj+atrb+++=average
rates ^nns++++=rates
of ^in++++=of
hospitalization ^nn+nom+++=hospitalization
for ^in++++=for
conditions ^nns+nom+++=conditions
sensitive ^jj++++=sensitive
to ^in++++=to
primary ^jj+atrb+++=primary
care ^nn++++=care
decreased ^vbd+++xvbn+=decreased
significantly ^rb++++=significantly
from ^in++++=from
the ^ati++++=the
previous ^jj+atrb+++=previous
period ^nn++++=period
to ^in++++=to
the ^ati++++=the
period ^nn++++=period
during ^in++++=during
the ^ati++++=the
primary ^jj+atrb+++=primary
care ^nn++++=care
reform ^nn++++=reform
in ^in++++=in
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
( ^zz++++=(Post-Hoc
post ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
hoc ^jj"++++=EXTRAWORD
p ^zz++++=p-value
- ^zz++++=EXTRAWORD
value ^nn++++=EXTRAWORD
< ^zz++++=<0.001).
0.001 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
average ^jj+atrb+++=average
rates ^nns++++=rates
continued ^vbd+++xvbn+=continued
to ^to++++=to
decline ^vbi++++=decline
following ^vbg+++xvbg+=following
the ^ati++++=the
publication ^nn+nom+++=publication
of ^in++++=of
the ^ati++++=the
new ^jj+atrb+++=new
national ^jj+atrb+++=national
primary ^jj+atrb+++=primary
care ^nn++++=care
policy ^nn++++=policy;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
reduction ^nn+nom+++=reduction
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
statistically ^rb++++=statistically
significant ^jj++++=significant
compared ^jj+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
reform ^nn++++=reform
period ^nn++++=period
( ^zz++++=(Post-Hoc
post ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
hoc ^jj"++++=EXTRAWORD
p ^zz++++=p-value
- ^zz++++=EXTRAWORD
value ^nn++++=EXTRAWORD
= ^zz++++==
0.504 ^nn+++??+=0.504).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
pattern ^nn++++=pattern
was ^vbd+bedz+aux++=was
also ^rb++splt++=also
observed ^vpsv++agls+xvbnx+=observed
for ^in++++=for
specific ^jj+atrb+++=specific
hospitalizations ^nns+nom+++=hospitalizations
due ^jj++++=due
to ^in+jcmp+++=to
bacterial ^jj+atrb+++=bacterial
pneumonia ^nn++++=pneumonia,
, ^zz++++=EXTRAWORD
hypertension ^nn+++??+=hypertension,
, ^zz++++=EXTRAWORD
cerebrovascular ^nn+++??+=cerebrovascular
diseases ^nns++++=diseases,
, ^zz++++=EXTRAWORD
diabetes ^nn++++=diabetes
mellitus ^nns++++=mellitus,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gastrointestinal ^jj+atrb+++=gastrointestinal
ulcer ^nn++++=ulcer.
. ^zz++++=EXTRAWORD
