Methods ^nns++++=Methods:
: ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
conducted ^vbd+++xvbn+=conducted
an ^at++++=an
interrupted ^jj+atrb++xvbn+=interrupted
time ^nn++++=time
series ^nn++++=series
analysis ^nn++++=analysis
to ^to++++=to
compare ^vbi++++=compare
three ^cd++++=three
distinct ^jj+atrb+++=distinct
periods ^nns++++=periods
corresponding ^vwbg+++xvbg+=corresponding
to ^in++++=to
primary ^jj+atrb+++=primary
care ^nn++++=care
policy ^nn++++=policy
changes ^nns++++=changes
in ^in++++=in
Brazil ^np++++=Brazil:
: ^zz++++=EXTRAWORD
2008 ^cd++++=2008
2009 ^cd++++=2009,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
2017 ^cd++++=2017,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
2018 ^cd++++=2018
2019 ^cd++++=2019.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dataset ^nn++++=dataset
comprised ^vbd+++xvbn+=comprised
total ^jj+atrb+++=total
ambulatory ^nn++++=ambulatory
care ^nn++++=care
sensitive ^jj+atrb+++=sensitive
conditions ^nns+nom+++=conditions
( ^zz++++=(ACSC)
acsc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
rates ^nns++++=rates
for ^in++++=for
19 ^cd++++=19
groups ^nns++++=groups
of ^in++++=of
conditions ^nns+nom+++=conditions.
. ^zz++++=EXTRAWORD
