Metacognitive ^np+++??+=Metacognitive
processes ^nns+nom+++=processes
are ^vb+ber+vrb++=are
significant ^jj+pred+++=significant
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
worry ^nn++++=worry,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
generation ^nn+nom+++=generation,
, ^zz++++=EXTRAWORD
correction ^nn+nom+++=correction,
, ^zz++++=EXTRAWORD
assessment ^nn+nom+++=assessment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
regulation ^nn+nom+++=regulation
of ^in++++=of
thoughts ^nns++++=thoughts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
are ^vb+ber+aux++=are
closely ^rb++splt++=closely
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
the ^ati++++=the
development ^nn+nom+++=development
and ^cc++++=and
maintenance ^nn+nom+++=maintenance
of ^in++++=of
psychological ^jj+atrb+++=psychological
disorders ^nns+nom+++=disorders
( ^zz++++=(Dinis
dinis ^nns+++??+=EXTRAWORD
& ^zz++++=&
Gouveia ^np+++??+=Gouveia,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Elevated ^jj+atrb++xvbn+=Elevated
levels ^nns++++=levels
of ^in++++=of
worry ^nn++++=worry
are ^vb+ber+aux++=are
generally ^rb+down+splt++=generally
linked ^vpsv++agls+xvbnx+=linked
to ^in++++=to
a ^at++++=a
range ^nn++++=range
of ^in++++=of
psychiatric ^jj+atrb+++=psychiatric
symptoms ^nns++++=symptoms,
, ^zz++++=EXTRAWORD
many ^ap++++=many
of ^in++++=of
which ^whp+rel+pied++=which
are ^vb+ber+vrb++=are
characteristic ^jj+pred+++=characteristic
of ^in++++=of
common ^jj+atrb+++=common
mental ^jj+atrb+++=mental
disorders ^nns+nom+++=disorders
such ^abl++++=such
as ^ql++++=as
anxiety ^nn++++=anxiety
and ^cc++++=and
depression ^nn++++=depression.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn++++=pandemic,
, ^zz++++=EXTRAWORD
media ^nns++++=media
exposure ^nn++++=exposure
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
shown ^vpsv++agls+xvbnx+=shown
to ^to+vcmp+++=to
elicit ^vbi++++=elicit
both ^abx++++=both
unrealistic ^jj+atrb+++=unrealistic
optimism ^nn+nom+++=optimism
and ^cc++++=and
negative ^jj+atrb+++=negative
thoughts ^nns++++=thoughts,
, ^zz++++=EXTRAWORD
potentially ^rb++++=potentially
intensifying ^xvbg+++xvbg+=intensifying
distorted ^vbd+++xvbn+=distorted
health ^nn++++=health-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
predictions ^nns+nom+++=predictions
and ^cc++++=and
excessive ^jj++++=excessive
worrying ^jj+++xvbg+=worrying
( ^zz++++=(Faro
faro ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Empirical ^jj+atrb+++=Empirical
studies ^nns++++=studies
examining ^vwbg+++xvbg+=examining
the ^ati++++=the
relationship ^nn+nom+++=relationship
between ^in++++=between
worry ^nn++++=worry
and ^cc++++=and
mental ^jj+atrb+++=mental
health ^nn++++=health
have ^vb+hv+aux++=have
consistently ^rb++splt++=consistently
found ^vprf+++xvbnx+=found
that ^tht+vcmp+++=that
anxiety ^nn++++=anxiety
and ^cc++++=and
depression ^nn++++=depression
are ^vb+ber+vrb++=are
prevalent ^jj+pred+++=prevalent
in ^in++++=in
contexts ^nns++++=contexts
characterized ^vwbn+++xvbn+=characterized
by ^in++++=by
excessive ^nn++++=excessive
worry ^vb+vprv+++=worry
( ^zz++++=(Huang
huang ^nn+++??+=EXTRAWORD
& ^zz++++=&
Zhao ^np+++??+=Zhao,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Topper ^np+++??+=Topper,
, ^zz++++=EXTRAWORD
emmelkamp ^np++++=Emmelkamp,
, ^zz++++=EXTRAWORD
watkins ^np++++=Watkins,
, ^zz++++=EXTRAWORD
& ^zz++++=&
ehring ^np++++=Ehring,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
