Since ^in++++=Since
Chomsky ^np+++??+=Chomsky
( ^zz++++=(1977),
1977 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
such ^abl++++=such
sentences ^nns+nom+++=sentences
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
analyzed ^vpsv++agls+xvbnx+=analyzed
as ^ql++++=as
being ^xvbg+++xvbg+=being
derived ^vwbn+++xvbn+=derived
through ^in++++=through
wh ^nn+++??+=wh-movement;
- ^zz++++=EXTRAWORD
movement ^nn+nom+++=EXTRAWORD
; ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wh ^nn+++??+=wh-phrase
- ^zz++++=EXTRAWORD
phrase ^nn++++=EXTRAWORD
in ^in++++=in
these ^dt+dem+++=these
constructions ^nns+nom+++=constructions
appears ^vbz+seem+++=appears
in ^in++++=in
a ^at++++=a
position ^nn+nom+++=position
different ^jj++++=different
from ^in++++=from
its ^pp$+it+++=its
original ^jj+atrb+++=original
syntactic ^jj+atrb+++=syntactic
position ^nn+nom+++=position,
, ^zz++++=EXTRAWORD
a ^at++++=a
phenomenon ^nn++++=phenomenon
that ^tht+rel+obj++=that
Chomsky ^np+++??+=Chomsky
Formalizes ^vbz++++=formalizes
By ^in++++=by
Means ^in"++++=means
Of ^in"++++=of
A ^at++++=a
Specific ^jj+atrb+++=specific
Transformational ^jj+atrb+++=transformational
Rule ^nn++++=rule.
 ^zz++++=EXTRAWORD
