Although ^cs+con+++=Although
textbooks ^nns++++=textbooks
are ^vb+ber+vrb++=are
not ^xnot++not++=not
the ^ati++++=the
primary ^jj+atrb+++=primary
focus ^nn++++=focus
of ^in++++=of
this ^dt+dem+++=this
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
notable ^jj+pred+++=notable
that ^tht+jcmp+++=that
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
courses ^nns++++=courses
in ^in++++=in
the ^ati++++=the
sample ^nn++++=sample
had ^vb+hv+vrb++=had
an ^at++++=an
assigned ^jj+atrb++xvbn+=assigned
textbook ^nn++++=textbook,
, ^zz++++=EXTRAWORD
accounting ^nvbg+++xvbg+=accounting
for ^in++++=for
66.0 ^cd++++=66.0
percent ^nnu++++=percent
( ^zz++++=(2,238
2,238 ^cd++++=EXTRAWORD
syllabuses ^nns++++=syllabuses)
) ^zz++++=EXTRAWORD
as ^in++++=as
shown ^nn++++=shown
in ^in++++=in
Table ^nn++++=Table
5 ^zz++++=5.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
proportion ^nn+nom+++=proportion
is ^vbz+bez+vrb++=is
more ^ql++++=more
than ^cs+sub+++=than
double ^jj++++=double
that ^dt+dem+++=that
of ^in++++=of
syllabuses ^nns++++=syllabuses
with ^in++++=with
assigned ^xvbn+++xvbn+=assigned
readings ^nns++++=readings,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
comprised ^vbd+++xvbn+=comprised
27.2 ^cd++++=27.2
percent ^nnu++++=percent
( ^zz++++=(923
923 ^cd++++=EXTRAWORD
syllabuses ^nns++++=syllabuses)
) ^zz++++=EXTRAWORD
as ^in++++=as
indicated ^nn++++=indicated
in ^in++++=in
Table ^nn++++=Table
3.a ^cd++++=3.a.
. ^zz++++=EXTRAWORD
The ^ati++++=The
assignment ^nn+nom+++=assignment
of ^in++++=of
textbooks ^nns++++=textbooks
was ^vbd+bedz+vrb++=was
relatively ^rb++++=relatively
consistent ^jj+pred+++=consistent
across ^in+pl+++=across
the ^ati++++=the
three ^cd++++=three
subject ^nn++++=subject
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
with ^in++++=with
69.3 ^cd++++=69.3
percent ^nnu++++=percent
of ^in++++=of
science ^nn+nom+++=science
syllabuses ^nns++++=syllabuses,
, ^zz++++=EXTRAWORD
60.0 ^cd++++=60.0
percent ^nnu++++=percent
of ^in++++=of
social ^jj+atrb+++=social
sciences ^nns+nom+++=sciences
syllabuses ^nns++++=syllabuses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
70.0 ^cd++++=70.0
percent ^nnu++++=percent
of ^in++++=of
humanities ^nns+nom+++=humanities
syllabuses ^nns++++=syllabuses
requiring ^vwbg+vsua++xvbg+=requiring
a ^at++++=a
textbook ^nn++++=textbook.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
the ^ati++++=the
prevalence ^nn+nom+++=prevalence
of ^in++++=of
textbook ^nn++++=textbook
use ^nn++++=use
in ^in++++=in
courses ^nns++++=courses,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
relevant ^jj+pred+++=relevant
to ^to++++=to
observe ^vbi+vprv+++=observe
that ^tht+vcmp+++=that
the ^ati++++=the
sustained ^jj+atrb++xvbn+=sustained
increase ^nn++++=increase
in ^in++++=in
textbook ^nn++++=textbook
prices ^nns++++=prices
over ^in++++=over
recent ^jj+atrb+++=recent
decades ^nns++++=decades
has ^vbz+hvz+aux++=has
stabilized ^vprf+++xvbnx+=stabilized
in ^in++++=in
recent ^jj+atrb+++=recent
years ^nns++++=years,
, ^zz++++=EXTRAWORD
partly ^rb+down+++=partly
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
emergence ^nn+nom+++=emergence
of ^in++++=of
open ^jj+atrb+++=open
textbook ^nn++++=textbook
initiatives ^nns++++=initiatives
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Openstax ^np+++??+=OpenStax,
, ^zz++++=EXTRAWORD
Flatworld ^np+++??+=FlatWorld),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
constitute ^vb++++=constitute
a ^at++++=a
significant ^jj+atrb+++=significant
digital ^jj+atrb+++=digital
transformation ^nn+nom+++=transformation
within ^in++++=within
academic ^nn++++=academic
publishing ^vwbg+++xvbg+=publishing
( ^zz++++=(Fox,
fox ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
jhangiani ^np++++=Jhangiani,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
