Pratto ^np+++??+=Pratto
( ^zz++++=(1994)
1994 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
examines ^vbz++++=examines
the ^ati++++=the
psychological ^jj+atrb+++=psychological
dimension ^nn++++=dimension
of ^in++++=of
Tds ^np+++??+=TDS
by ^in++++=by
proposing ^vb+++xvbg+=proposing
that ^tht+vcmp+++=that
an ^at++++=an
individual ^jj++++=individual
variable ^jj++++=variable,
, ^zz++++=EXTRAWORD
termed ^jj+atrb++xvbn+=termed
Social ^jj+atrb+++=Social
Dominance ^nn+nom+++=Dominance
Orientation ^nn+nom+++=Orientation
( ^zz++++=(SDO),
sdo ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
reflects ^vbz++++=reflects
the ^ati++++=the
degree ^nn++++=degree
to ^to++++=to
which ^whp+who+++=which
a ^at++++=a
person ^nn++++=person
desires ^vbz++++=desires
their ^pp$+pp3+++=their
group ^nn++++=group
to ^to++++=to
dominate ^nn+nom+++=dominate
and ^cc++++=and
be ^vb+be+vrb++=be
superior ^jj+pred+++=superior
to ^in++++=to
other ^ap++++=other
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
Sdo ^np+++??+=SDO
is ^vbz+bez+aux++=is
conceptualized ^vpsv++agls+xvbnx+=conceptualized
as ^in++++=as
an ^at++++=an
attitudinal ^jj+atrb+++=attitudinal
orientation ^nn+nom+++=orientation
toward ^in++++=toward
intergroup ^nn+++??+=intergroup
relations ^nns+nom+++=relations,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
a ^at++++=a
preference ^nn+nom+++=preference
for ^in++++=for
hierarchical ^jj+atrb+++=hierarchical
relationships ^nns+nom+++=relationships
structured ^vbd+++xvbn+=structured
along ^in++++=along
a ^at++++=a
superior ^jj++++=superior-inferior
- ^zz++++=EXTRAWORD
inferior ^jj+atrb+++=EXTRAWORD
continuum ^nn++++=continuum
( ^zz++++=(Pratto
pratto ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1994 ^cd+date+++=1994).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
these ^dt+dem+++=these
beliefs ^nns++++=beliefs
may ^md+pos+++=may
confer ^vb++++=confer
advantages ^nns+nom+++=advantages
to ^in++++=to
certain ^jj+atrb+++=certain
group ^nn++++=group
members ^nns+nom+++=members,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
adoption ^nn+nom+++=adoption
by ^in++++=by
members ^nns+nom+++=members
of ^in++++=of
subordinate ^jj+atrb+++=subordinate
groups ^nns++++=groups
can ^md+pos+++=can
inhibit ^vb++++=inhibit
participation ^nn+nom+++=participation
in ^in++++=in
collective ^jj+atrb+++=collective
actions ^nns+nom+++=actions
aimed ^vbd+++xvbn+=aimed
at ^rb++++=at
addressing ^vbg+++xvbg+=addressing
social ^jj+atrb+++=social
inequalities ^nns+nom+++=inequalities
and ^cc++++=and
prejudice ^nn++++=prejudice
( ^zz++++=(Islam,
islam ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
