Given ^vbd+++xvbn+=Given
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
evident ^jj+pred+++=evident
that ^tht+jcmp+++=that
the ^ati++++=the
relativized ^jj+++xvbn+=relativized
nominal ^jj++++=nominal
in ^in++++=in
( ^zz++++=(47)
47 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
" ^zz++++="um
um ^uh++++=EXTRAWORD
f ^zz++++=f
teu ^nn+++??+=teu,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
but ^cc++++=but
rather ^rb++++=rather
" ^zz++++="uma
uma ^nn+++??+=EXTRAWORD
pessoa ^nn+++??+=pessoa."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
configuration ^nn+nom+++=configuration
results ^nns++++=results
in ^in++++=in
the ^ati++++=the
relativizer ^nn++++=relativizer
in ^in++++=in
C ^zz++++=C
and ^cc++++=and
the ^ati++++=the
antecedent ^jj+atrb+++=antecedent
Dp ^np+++??+=DP
being ^vwbg+beg++xvbg+=being
adjacent ^jj++++=adjacent,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
allowing ^jj+++xvbg+=allowing
for ^in++++=for
the ^ati++++=the
incorporation ^nn+nom+++=incorporation
process ^nns+nom+++=process
described ^vbd+++xvbn+=described
in ^in++++=in
( ^zz++++=(46)
46 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
above ^jjb++++=above.
. ^zz++++=EXTRAWORD
