It ^pp3+it+++=It
differs ^nns+nom+++=differs
from ^in++++=from
Gomphonema ^np+++??+=Gomphonema
hawaiiense ^nn+++??+=hawaiiense
Reichardt ^np+++??+=Reichardt
( ^zz++++=(2005:
2005 ^cd++++=EXTRAWORD
: ^zz++++=EXTRAWORD
119 ^cd++++=119)
) ^zz++++=EXTRAWORD
by ^in++++=by
exhibiting ^xvbg+++xvbg+=exhibiting
smaller ^jjr+atrb+++=smaller
valve ^nn++++=valve
dimensions ^nns++++=dimensions
( ^zz++++=(length:
length ^rb++++=EXTRAWORD
: ^zz++++=EXTRAWORD
24.5 ^cd++++=24.5
34.0 ^cd++++=34.0
m ^zz++++=m;
; ^zz++++=EXTRAWORD
width ^nn++++=width:
: ^zz++++=EXTRAWORD
4.5 ^cd++++=4.5
6.0 ^cd++++=6.0
m ^zz++++=m)
) ^zz++++=EXTRAWORD
compared ^vbd+++xvbn+=compared
to ^in++++=to
G ^zz++++=G.
. ^zz++++=EXTRAWORD
hawaiiense ^nn+++??+=hawaiiense
( ^zz++++=(length:
length ^rb++++=EXTRAWORD
: ^zz++++=EXTRAWORD
32.6 ^cd++++=32.6
55.0 ^cd++++=55.0
m ^zz++++=m;
; ^zz++++=EXTRAWORD
width ^nn++++=width:
: ^zz++++=EXTRAWORD
6.3 ^cd++++=6.3
9.5 ^cd++++=9.5
m ^zz++++=m)
) ^zz++++=EXTRAWORD
as ^in++++=as
reported ^nn++++=reported
by ^in++++=by
Tremarin ^np+++??+=Tremarin
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2009),
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
by ^in++++=by
possessing ^xvbg+++xvbg+=possessing
curved ^jj+atrb+++=curved
subcapitate ^nn+nom+++=subcapitate
apices ^nns+++??+=apices.
. ^zz++++=EXTRAWORD
The ^ati++++=The
taxon ^nn+++??+=taxon
was ^vbd+bedz+aux++=was
identified ^vpsv++agls+xvbnx+=identified
in ^in++++=in
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
core ^nn++++=core
samples ^nns++++=samples,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
maximum ^nn++++=maximum
relative ^jj+atrb+++=relative
abundance ^nn+nom+++=abundance
of ^in++++=of
1 ^zz++++=1%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
was ^vbd+bedz+aux++=was
detected ^vpsv++agls+xvbnx+=detected
in ^in++++=in
samples ^nns++++=samples
dating ^vwbg+++xvbg+=dating
to ^in++++=to
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
Mid ^jjb++++=Mid-Holocene
- ^zz++++=EXTRAWORD
holocene ^nn+++??+=EXTRAWORD
( ^zz++++=(
4,345 ^cd++++=4,345
calibrated ^jj+atrb++xvbn+=calibrated
years ^nns++++=years
Bp ^np+++??+=BP).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
present ^jj+atrb+++=present
study ^nn++++=study
constitutes ^vbz++++=constitutes
the ^ati++++=the
first ^od++++=first
documented ^vbd+++xvbn+=documented
occurrence ^nn+nom+++=occurrence
of ^in++++=of
this ^dt+dem+++=this
species ^nn++++=species
in ^in++++=in
the ^ati++++=the
brazilian ^jj+atrb+++=Brazilian
amazon ^np++++=Amazon.
. ^zz++++=EXTRAWORD
