It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
omit ^vbi++++=omit
the ^ati++++=the
first ^od++++=first
element ^nn+nom+++=element
of ^in++++=of
the ^ati++++=the
apposition ^nn+nom+++=apposition
in ^in++++=in
( ^zz++++=(3a),
3a ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
in ^in++++=in
( ^zz++++=(4a);
4a ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
similarly ^rb+cnj+++=similarly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
positions ^nns+nom+++=positions
of ^in++++=of
the ^ati++++=the
nominal ^jj++++=nominal
and ^cc++++=and
the ^ati++++=the
subordinate ^jj+atrb+++=subordinate
clause ^nn++++=clause
can ^md+pos+++=can
be ^vb+be+aux++=be
switched ^vpsv++agls+xvbnx+=switched
in ^in++++=in
( ^zz++++=(3b),
3b ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
possible ^jj++++=possible
in ^in++++=in
( ^zz++++=(4b).
4b ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wh ^nn+++??+=wh-sentence
- ^zz++++=EXTRAWORD
sentence ^nn+nom+++=EXTRAWORD
can ^md+pos+++=can
be ^vb+be+aux++=be
extraposed ^vpsv++agls+xvbnx+=extraposed
in ^in++++=in
( ^zz++++=(3c),
3c ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
extraposition ^nn+nom+++=extraposition
of ^in++++=of
the ^ati++++=the
appositive ^jj+atrb+++=appositive
clause ^nn++++=clause
is ^vbz+bez+aux++=is
not ^xnot++not++=not
permitted ^vpsv++agls+xvbn+=permitted
in ^in++++=in
( ^zz++++=(4c).
4c ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
