Legitimizing ^np+++??+=Legitimizing
myths ^nns++++=myths
that ^tht+rel+obj++=that
support ^nn++++=support
stratified ^jj+atrb+++=stratified
social ^jj+atrb+++=social
hierarchies ^nns+++??+=hierarchies
exert ^vb++++=exert
influence ^nn+nom+++=influence
at ^rb++++=at
a ^at++++=a
subconscious ^jj+atrb+++=subconscious
level ^nn++++=level
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
collectively ^jj++++=collectively
shared ^jj+++xvbn+=shared
among ^in++++=among
group ^nn++++=group
members ^nns+nom+++=members
and ^cc++++=and
within ^in++++=within
society ^nn++++=society
at ^rb++++=at
large ^rb"++++=large
( ^zz++++=(Moscovici,
moscovici ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1984 ^cd+date+++=1984).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Within ^in++++=Within
educational ^jj+atrb+++=educational
settings ^nns++++=settings,
, ^zz++++=EXTRAWORD
schooling ^nn+nom+++=schooling
operates ^nns+nom+++=operates
within ^in++++=within
a ^at++++=a
stratified ^jj+atrb+++=stratified
social ^jj+atrb+++=social
structure ^nn++++=structure,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
ineffective ^jj+atrb+++=ineffective
practices ^nns++++=practices
are ^vb+ber+aux++=are
often ^rb++splt++=often
maintained ^vpsv++by+xvbnx+=maintained
by ^in++++=by
both ^abx++++=both
teachers ^nns+nom+++=teachers
and ^cc++++=and
students ^nns++++=students
despite ^in++++=despite
evidence ^nn+nom+++=evidence
of ^in++++=of
their ^pp$+pp3+++=their
limited ^jj+atrb++xvbn+=limited
success ^nns+nom+++=success
( ^zz++++=(Acosta,
acosta ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
teachers ^nns+nom+++=teachers
may ^md+pos+++=may
lack ^vb++++=lack
awareness ^nns+nom+++=awareness
of ^in++++=of
the ^ati++++=the
extent ^nn++++=extent
to ^to++++=to
which ^whp+who+++=which
these ^dt+dem+++=these
myths ^nns++++=myths
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
maintenance ^nn+nom+++=maintenance
of ^in++++=of
existing ^xvbg+++xvbg+=existing
social ^jj+atrb+++=social
arrangements ^nns+nom+++=arrangements
( ^zz++++=(Milner
milner ^np++++=EXTRAWORD
& ^zz++++=&
laughter ^nn+nom+++=Laughter,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
