These ^dt+dem+++=These
results ^nns++++=results
are ^vb+ber+vrb++=are
significant ^jj+pred+++=significant
not ^xnot++not++=not
only ^rb+down+++=only
for ^in++++=for
practitioners ^nns+nom+++=practitioners
but ^cc++++=but
also ^rb++++=also
for ^in++++=for
informing ^xvbg+++xvbg+=informing
the ^ati++++=the
ongoing ^jj+atrb++xvbg+=ongoing
discussion ^nn++++=discussion
regarding ^in++++=regarding
public ^jj+atrb+++=public
policies ^nns++++=policies
for ^in++++=for
the ^ati++++=the
third ^nn++++=third
sector ^nn++++=sector
in ^in++++=in
environments ^nns+nom+++=environments
with ^in++++=with
limited ^jj+atrb++xvbn+=limited
regulation ^nn+nom+++=regulation.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
that ^tht+vcmp+++=that
managers ^nns+nom+++=managers
increase ^vb++++=increase
the ^ati++++=the
transparency ^nn++++=transparency
of ^in++++=of
governance ^nn+nom+++=governance
information ^nn+nom+++=information
within ^in++++=within
nonprofit ^nn+++??+=nonprofit
organizations ^nns+nom+++=organizations,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
enabling ^vbg+nom++xvbg+=enabling
donors ^nns++++=donors
to ^in++++=to
access ^nn++++=access
this ^dt+dem+++=this
information ^nn+nom+++=information
and ^cc++++=and
potentially ^rb++++=potentially
influencing ^vbg+++xvbg+=influencing
their ^pp$+pp3+++=their
donation ^nn+nom+++=donation
decisions ^nns++++=decisions
in ^in++++=in
a ^at++++=a
positive ^jj+atrb+++=positive
manner ^nn++++=manner.
. ^zz++++=EXTRAWORD
