Amphibians ^np+++??+=Amphibians
and ^cc++++=and
reptiles ^nns++++=reptiles
were ^vbd+bed+aux++=were
surveyed ^vpsv++agls+xvbnx+=surveyed
in ^in++++=in
Sector ^nn++++=Sector
A ^at++++=A
of ^in++++=of
the ^ati++++=the
park ^npl++++=park
over ^in++++=over
a ^at++++=a
36 ^cd++++=36-month
- ^zz++++=EXTRAWORD
month ^nn++++=EXTRAWORD
period ^nn++++=period,
, ^zz++++=EXTRAWORD
from ^in++++=from
January ^nr+nom+++=January
2013 ^cd++++=2013
to ^in++++=to
December ^nr+nom+++=December
2015 ^cd++++=2015,
, ^zz++++=EXTRAWORD
at ^in++++=at
elevations ^nns+nom+++=elevations
ranging ^vwbg+++xvbg+=ranging
from ^in++++=from
400 ^cd++++=400
m ^zz++++=m
to ^to++++=to
800 ^cd++++=800
m ^zz++++=m
above ^jjb+atrb+++=above
sea ^nn++++=sea
level ^nn++++=level.
. ^zz++++=EXTRAWORD
Surveys ^nns++++=Surveys
followed ^vbd+vprv++xvbn+=followed
the ^ati++++=the
Visual ^jj+atrb+++=Visual
Encounter ^nn+nom+++=Encounter
Survey ^nn++++=Survey
( ^zz++++=(VES)
ves ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
method ^nn++++=method
described ^vwbn+++xvbn+=described
by ^in++++=by
Crump ^np++++=Crump
and ^cc++++=and
Scott ^np++++=Scott
( ^zz++++=(1994),
1994 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
a ^at++++=a
total ^jj+atrb+++=total
sampling ^nn+nom+++=sampling
effort ^nn++++=effort
of ^in++++=of
460 ^cd++++=460
person ^nn++++=person-hours,
- ^zz++++=EXTRAWORD
hours ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
equally ^rb++++=equally
divided ^vbd+++xvbn+=divided
between ^in++++=between
diurnal ^jj++++=diurnal
( ^zz++++=(230
230 ^cd++++=EXTRAWORD
hours ^nns++++=hours)
) ^zz++++=EXTRAWORD
and ^cc++++=and
nocturnal ^jj++++=nocturnal
( ^zz++++=(230
230 ^cd++++=EXTRAWORD
hours ^nns++++=hours)
) ^zz++++=EXTRAWORD
searches ^nns++++=searches.
. ^zz++++=EXTRAWORD
During ^in++++=During
each ^dt++++=each
active ^jj+atrb+++=active
search ^nn++++=search,
, ^zz++++=EXTRAWORD
two ^cd++++=two
researchers ^nns+nom+++=researchers
systematically ^rb++++=systematically
traversed ^vbd+++xvbn+=traversed
the ^ati++++=the
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
examining ^vbg+++xvbg+=examining
microhabitats ^nns+++??+=microhabitats
such ^abl++++=such
as ^ql++++=as
streams ^nns++++=streams,
, ^zz++++=EXTRAWORD
ponds ^nns++++=ponds,
, ^zz++++=EXTRAWORD
bromeliads ^nns+++??+=bromeliads,
, ^zz++++=EXTRAWORD
leaf ^nn++++=leaf
litter ^nn++++=litter,
, ^zz++++=EXTRAWORD
tree ^nn++++=tree
trunks ^nns++++=trunks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rocks ^nns++++=rocks
for ^in++++=for
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
amphibians ^nns++++=amphibians
and ^cc++++=and
reptiles ^nns++++=reptiles.
. ^zz++++=EXTRAWORD
Searches ^nns++++=Searches
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
a ^at++++=a
single ^jj+atrb+++=single
direction ^nn+nom+++=direction
to ^to++++=to
minimize ^vbi++++=minimize
the ^ati++++=the
likelihood ^nn+nom+++=likelihood
of ^in++++=of
resampling ^nn+nom+++=resampling
individuals ^nns+nom+++=individuals
and ^cc++++=and
to ^to++++=to
ensure ^vbi+vprv+++=ensure
the ^ati++++=the
independence ^nn+nom+++=independence
of ^in++++=of
records ^nns++++=records.
. ^zz++++=EXTRAWORD
All ^abn++++=All
individuals ^nns+nom+++=individuals
encountered ^vwbn+++xvbn+=encountered
were ^vbd+bed+aux++=were
captured ^vpsv++agls+xvbnx+=captured,
, ^zz++++=EXTRAWORD
identified ^xvbn+++xvbn+=identified,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
most ^ql+emph+++=most
were ^vbd+bed+aux++=were
released ^vpsv++agls+xvbnx+=released
at ^rb++++=at
the ^ati++++=the
site ^nn++++=site
of ^in++++=of
capture ^nn++++=capture.
. ^zz++++=EXTRAWORD
Voucher ^np+++??+=Voucher
specimens ^nns++++=specimens
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
and ^cc+phrs+++=and
deposited ^vpsv++agls+xvbn+=deposited
in ^in++++=in
the ^ati++++=the
herpetological ^jj+atrb+++=herpetological
collection ^nn+nom+++=collection
of ^in++++=of
the ^ati++++=the
Museu ^np+++??+=Museu
Nacional ^np+nom++??+=Nacional
( ^zz++++=(MNRJ),
mnrj ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Universidade ^np+++??+=Universidade
Federal ^jj++++=Federal
do ^vb+do+vrb++=do
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
( ^zz++++=(voucher
voucher ^jjr+atrb+++=EXTRAWORD
numbers ^nns+nom+++=numbers
provided ^vbd+vsua++xvbn+=provided
in ^in++++=in
Appendix ^nn++++=Appendix
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
inventory ^nn++++=inventory
was ^vbd+bedz+aux++=was
