As ^in++++=As
described ^nn++++=described
in ^in++++=in
the ^ati++++=the
previous ^jj+atrb+++=previous
section ^nn+nom+++=section,
, ^zz++++=EXTRAWORD
interrogatives ^nns++++=interrogatives,
, ^zz++++=EXTRAWORD
headed ^xvbn+++xvbn+=headed
relatives ^nns++++=relatives,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
free ^jj+atrb+++=free
relatives ^nns++++=relatives
can ^md+pos+++=can
be ^vb+be+aux++=be
introduced ^vpsv++by+xvbnx+=introduced
by ^in++++=by
" ^zz++++="quem."
quem ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
following ^jj+atrb++xvbg+=following
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
each ^dt++++=each
sentence ^nn+nom+++=sentence
type ^nn++++=type
will ^md+prd+++=will
be ^vb+be+aux++=be
examined ^vpsv++agls+xvbnx+=examined
in ^in++++=in
detail ^nn++++=detail,
, ^zz++++=EXTRAWORD
with ^in++++=with
particular ^jj+atrb+++=particular
attention ^nn+nom+++=attention
to ^to++++=to
their ^pp$+pp3+++=their
syntactic ^jj+atrb+++=syntactic
properties ^nns++++=properties.
. ^zz++++=EXTRAWORD
