Over ^in++++=Over
time ^nn++++=time,
, ^zz++++=EXTRAWORD
D&t ^np+++??+=D&T
education ^nn+nom+++=education
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
provided ^vpsv++agls+xvbnx+=provided
disproportionately ^rb++++=disproportionately
to ^in++++=to
white ^jj+atrb+++=white
students ^nns++++=students
compared ^vbd+++xvbn+=compared
to ^in++++=to
Black ^jj+atrb+++=Black
students ^nns++++=students
( ^zz++++=(Acosta,
acosta ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
male ^jj+atrb+++=male
students ^nns++++=students
compared ^vbd+++xvbn+=compared
to ^in++++=to
female ^nn++++=female
students ^nns++++=students.
. ^zz++++=EXTRAWORD
Factors ^nns++++=Factors
such ^abl++++=such
as ^ql++++=as
prejudice ^nn++++=prejudice,
, ^zz++++=EXTRAWORD
discrimination ^nn+nom+++=discrimination,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
institutional ^jj+atrb+++=institutional
focus ^nn++++=focus
on ^in++++=on
deficits ^nns++++=deficits
within ^in++++=within
special ^jj+atrb+++=special
education ^nn+nom+++=education
are ^vb+ber+vrb++=are
likely ^jj+atrb+++=likely
contributors ^nns++++=contributors
to ^in++++=to
this ^dt+dem+++=this
inequality ^nn+nom+++=inequality.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
disparity ^nn+nom+++=disparity
negatively ^rb++++=negatively
impacts ^vbz+++??+=impacts
the ^ati++++=the
educational ^jj+atrb+++=educational
experiences ^nns+nom+++=experiences
of ^in++++=of
underrepresented ^jj+atrb++xvbn+=underrepresented
talented ^jj+atrb+++=talented
students ^nns++++=students
( ^zz++++=(Wright,
wright ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ford ^np++++=Ford,
, ^zz++++=EXTRAWORD
& ^zz++++=&
young ^jj++++=Young,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017)
) ^zz++++=EXTRAWORD
and ^cc++++=and
perpetuates ^nns+nom+++=perpetuates
legitimizing ^jj+atrb+++=legitimizing
myths ^nns++++=myths.
. ^zz++++=EXTRAWORD
