Kapetanios ^np+++??+=Kapetanios,
, ^zz++++=EXTRAWORD
Shin ^nn++++=Shin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Snell ^np+++??+=Snell
( ^zz++++=(2006)
2006 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
extended ^vbd+++xvbn+=extended
the ^ati++++=the
Engle ^np+++??+=Engle-Granger
- ^zz++++=EXTRAWORD
granger ^np++++=EXTRAWORD
Cointegration ^np+nom++??+=Cointegration
Test ^nn++++=Test
by ^in++++=by
adapting ^xvbg+++xvbg+=adapting
it ^pp3+it+++=it
for ^in++++=for
application ^nn+nom+++=application
to ^in++++=to
nonlinear ^jj+atrb++??+=nonlinear
models ^nns++++=models.
. ^zz++++=EXTRAWORD
In ^in++++=In
their ^pp$+pp3+++=their
approach ^nn++++=approach,
, ^zz++++=EXTRAWORD
the ^ati++++=the
null ^jj+atrb+++=null
hypothesis ^nn++++=hypothesis
posits ^nns+++??+=posits
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
a ^at++++=a
cointegration ^nn+nom+++=cointegration
relationship ^nn+nom+++=relationship
between ^in++++=between
the ^ati++++=the
variables ^nns++++=variables,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
alternative ^jj+atrb+++=alternative
hypothesis ^nn++++=hypothesis
asserts ^vbz+vpub+++=asserts
the ^ati++++=the
existence ^nn+nom+++=existence
of ^in++++=of
a ^at++++=a
nonlinear ^nn++++=nonlinear
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
relationship ^nn+nom+++=relationship.
. ^zz++++=EXTRAWORD
