However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
late ^jj++++=late
twentieth ^od++++=twentieth
century ^nn++++=century
onward ^jjb++++=onward,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
notable ^jj+atrb+++=notable
migration ^nn+nom+++=migration
of ^in++++=of
both ^abx++++=both
Naichi ^np+++??+=Naichi
and ^cc++++=and
Okinawan ^np+nom++??+=Okinawan
descendants ^nns+nom+++=descendants,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
their ^pp$+pp3+++=their
non ^&fw++++=non-Japanese
- ^zz++++=EXTRAWORD
japanese ^jj+atrb+++=EXTRAWORD
spouses ^nns++++=spouses,
, ^zz++++=EXTRAWORD
to ^in++++=to
Japan ^np++++=Japan.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
arrival ^nn++++=arrival,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
individuals ^nns+nom+++=individuals
encountered ^vwbn+++xvbn+=encountered
a ^at++++=a
society ^nn++++=society
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
often ^rb++++=often
resistant ^jj+pred+++=resistant
to ^in++++=to
difference ^nn+nom+++=difference
and ^cc++++=and
characterized ^vpsv++by+xvbn+=characterized
by ^in++++=by
significant ^jj+atrb+++=significant
levels ^nns++++=levels
of ^in++++=of
racism ^nn++++=racism
and ^cc++++=and
prejudice ^nn++++=prejudice.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shared ^jj+atrb++xvbn+=shared
experience ^nn+nom+++=experience
of ^in++++=of
discrimination ^nn+nom+++=discrimination
in ^in++++=in
Japan ^np++++=Japan
contributed ^vbd+++xvbn+=contributed
to ^in++++=to
a ^at++++=a
reduction ^nn+nom+++=reduction
in ^in++++=in
the ^ati++++=the
internal ^jj+atrb+++=internal
distinctions ^nns+nom+++=distinctions
between ^in++++=between
Okinawan ^np+nom++??+=Okinawan
and ^cc++++=and
Naichi ^np+++??+=Naichi
descendants ^nns+nom+++=descendants,
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading
to ^in++++=to
the ^ati++++=the
formation ^nn+nom+++=formation
of ^in++++=of
Brazilian ^jj+atrb+++=Brazilian
communities ^nns+nom+++=communities
in ^in++++=in
Japan ^np++++=Japan
That ^tht+rel+subj++=that
Transcended ^vpsv++agls+xvbn+=transcended
The ^ati++++=the
Divisions ^nns++++=divisions
Previously ^rb+tm+++=previously
Observed ^vpsv++agls+xvbn+=observed
In ^in++++=in
Brazil ^np++++=Brazil.
 ^zz++++=EXTRAWORD
