Although ^cs+con+++=Although
forage ^nn++++=forage
grasses ^nns++++=grasses
exhibit ^vb++++=exhibit
high ^jj+atrb+++=high
species ^nns++++=species
richness ^nns+nom+++=richness,
, ^zz++++=EXTRAWORD
shrub ^nn++++=shrub
species ^nn++++=species
also ^rb++++=also
play ^vb++++=play
a ^at++++=a
significant ^jj+atrb+++=significant
role ^nn++++=role
in ^in++++=in
cattle ^nns++++=cattle
diets ^nns++++=diets.
. ^zz++++=EXTRAWORD
Preliminary ^jj+atrb+++=Preliminary
microhistological ^jj+atrb+++=microhistological
analyses ^nns++++=analyses
of ^in++++=of
cattle ^nns++++=cattle
feces ^nns+++??+=feces
( ^zz++++=(Klich
klich ^nn+++??+=EXTRAWORD
& ^zz++++=&
Peralta ^np+++??+=Peralta
2019 ^cd++++=2019;
; ^zz++++=EXTRAWORD
Klich ^np+++??+=Klich
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
unpublished ^jj++++=unpublished)
) ^zz++++=EXTRAWORD
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
certain ^jj+atrb+++=certain
shrub ^nn++++=shrub
taxa ^nn+++??+=taxa,
, ^zz++++=EXTRAWORD
including ^in++++=including
Lycium ^np+++??+=Lycium
L ^zz++++=L.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Larrea ^np+++??+=Larrea,
, ^zz++++=EXTRAWORD
Schinus ^np+++??+=Schinus
L ^zz++++=L.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Prosopis ^np+++??+=Prosopis
L ^zz++++=L.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Elaeagnus ^np+++??+=Elaeagnus
angustifolia ^nn+++??+=angustifolia,
, ^zz++++=EXTRAWORD
Atriplex ^np+++??+=Atriplex
lampa ^nn+++??+=lampa
( ^zz++++=(Moq.)
moq ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
D.dietr ^np+++??+=D.Dietr.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ephedra ^np+++??+=Ephedra
ochreata ^nn+++??+=ochreata
Miers ^np+++??+=Miers,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
consumed ^vpsv++agls+xvbnx+=consumed
at ^rb++++=at
frequencies ^nns++++=frequencies
comparable ^jj++++=comparable
to ^in++++=to
those ^dt+dem+++=those
of ^in++++=of
many ^ap++++=many
grass ^nn++++=grass
species ^nn++++=species.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
finding ^nvbg+++xvbg+=finding
is ^vbz+bez+vrb++=is
notable ^jj++++=notable
given ^jj+++xvbn+=given
the ^ati++++=the
high ^jj+atrb+++=high
abundance ^nn+nom+++=abundance
of ^in++++=of
these ^dt+dem+++=these
shrub ^nn++++=shrub
species ^nn++++=species
within ^in++++=within
the ^ati++++=the
Monte ^np++++=Monte
ecoregion ^nn+++??+=ecoregion
plant ^nn++++=plant
community ^nn+nom+++=community.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
than ^in++++=than
70 ^cd++++=70%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
plant ^nn++++=plant
species ^nns++++=species
consumed ^vwbn+++xvbn+=consumed
by ^in++++=by
cattle ^nns++++=cattle
are ^vb+ber+vrb++=are
native ^jj+pred+++=native
to ^in++++=to
the ^ati++++=the
region ^nn++++=region
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
3b ^cd++++=3b).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
