Seedling ^np+nom++??+=Seedling
length ^nn++++=length
was ^vbd+bedz+aux++=was
assessed ^vpsv++by+xvbnx+=assessed
by ^in++++=by
sowing ^nn++++=sowing
four ^cd++++=four
replicates ^nns+nom+++=replicates
of ^in++++=of
20 ^cd++++=20
seeds ^nns++++=seeds
each ^dt++++=each,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
moistened ^vpsv++agls+xvbnx+=moistened
with ^in++++=with
either ^dtx++++=either
distilled ^jj+atrb+++=distilled
water ^nn++++=water
or ^cc++++=or
the ^ati++++=the
test ^nn++++=test
solution ^nn+nom+++=solution.
. ^zz++++=EXTRAWORD
The ^ati++++=The
seeds ^nns++++=seeds
were ^vbd+bed+aux++=were
placed ^vpsv++agls+xvbnx+=placed
in ^in++++=in
rolls ^nns++++=rolls
of ^in++++=of
paper ^nn++++=paper
and ^cc++++=and
incubated ^vpsv++agls+xvbn+=incubated
in ^in++++=in
a ^at++++=a
germination ^nn+nom+++=germination
chamber ^nn++++=chamber
at ^in++++=at
20 ^cd++++=20
C ^zz++++=C
for ^in++++=for
seven ^cd++++=seven
days ^nns++++=days.
. ^zz++++=EXTRAWORD
For ^in++++=For
each ^dt++++=each
replicate ^nn+nom+++=replicate,
, ^zz++++=EXTRAWORD
the ^ati++++=the
total ^jj++++=total
length ^rb++++=length
of ^in++++=of
10 ^cd++++=10
randomly ^rb++++=randomly
selected ^jj+atrb++xvbn+=selected
normal ^jj+atrb+++=normal
seedlings ^nns+nom+++=seedlings
was ^vbd+bedz+aux++=was
measured ^vpsv++agls+xvbnx+=measured
using ^vbg+++xvbg+=using
a ^at++++=a
millimeter ^jjr+atrb+++=millimeter
ruler ^nn++++=ruler.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mean ^jj+atrb+++=mean
seedling ^nn+nom+++=seedling
length ^nn++++=length
for ^in++++=for
each ^dt++++=each
replicate ^nn+nom+++=replicate
was ^vbd+bedz+aux++=was
calculated ^vpsv++by+xvbnx+=calculated
by ^in++++=by
summing ^xvbg+++xvbg+=summing
the ^ati++++=the
individual ^jj+atrb+++=individual
measurements ^nns+nom+++=measurements
and ^cc++++=and
dividing ^jj+++xvbg+=dividing
by ^in++++=by
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
seedlings ^nns+nom+++=seedlings
measured ^vbd+++xvbn+=measured,
, ^zz++++=EXTRAWORD
with ^in++++=with
results ^nns++++=results
expressed ^vbd+vpub++xvbn+=expressed
in ^in++++=in
centimeters ^nns+nom+++=centimeters
( ^zz++++=(cm)
cm ^nnu++++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Nakagawa,
nakagawa ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
