Physico ^np+++??+=Physico-chemical
- ^zz++++=EXTRAWORD
chemical ^jj+atrb+++=EXTRAWORD
analysis ^nn++++=analysis
of ^in++++=of
integrated ^jj+atrb++xvbn+=integrated
soil ^nn++++=soil
samples ^nns++++=samples
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
particle ^nn++++=particle
size ^nn++++=size
distribution ^nn+nom+++=distribution
in ^in++++=in
the ^ati++++=the
first ^od++++=first
sample ^nn++++=sample
classified ^vwbn+++xvbn+=classified
the ^ati++++=the
soil ^nn++++=soil
as ^ql++++=as
sandy ^np++++=sandy
clay ^nn++++=clay,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
higher ^jjr+atrb+++=higher
proportion ^nn+nom+++=proportion
of ^in++++=of
clay ^nn++++=clay
observed ^vbd+vprv++xvbn+=observed
in ^in++++=in
the ^ati++++=the
deeper ^jjr+atrb+++=deeper
layers ^nns++++=layers.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Soil ^nn++++=Soil
Classification ^nn+nom+++=Classification
System ^nn++++=System,
, ^zz++++=EXTRAWORD
as ^in++++=as
described ^nn++++=described
by ^in++++=by
Dos ^np+++??+=Dos
Santos ^np++++=Santos
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2018),
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
profile ^nn++++=profile
corresponds ^vbz++++=corresponds
to ^in++++=to
the ^ati++++=the
" ^zz++++="argissolo"
argissolo ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
category ^nn++++=category.
. ^zz++++=EXTRAWORD
