As ^in++++=As
shown ^nn++++=shown
in ^in++++=in
Table ^nn++++=Table
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
in ^in++++=in
2018 ^cd++++=2018
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
State ^nn++++=State
University ^npl+nom+++=University
( ^zz++++=(UNESP)
unesp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
maintained ^vprf+++xvbn+=maintained
a ^at++++=a
clear ^jj+atrb+++=clear
lead ^nn++++=lead,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
its ^pp$+it+++=its
score ^nn++++=score
decreasing ^vwbg+++xvbg+=decreasing
from ^in++++=from
2.81 ^cd++++=2.81
points ^nns++++=points
in ^in++++=in
2017 ^cd++++=2017
to ^to++++=to
2.49 ^cd++++=2.49
points ^nns++++=points
in ^in++++=in
2018 ^cd++++=2018.
. ^zz++++=EXTRAWORD
Unesp ^np+++??+=UNESP
continued ^vbd+++xvbn+=continued
to ^to++++=to
hold ^vbi+vprv+++=hold
a ^at++++=a
significant ^jj+atrb+++=significant
advantage ^nn+nom+++=advantage
over ^in++++=over
the ^ati++++=the
second ^od++++=second-ranked
- ^zz++++=EXTRAWORD
ranked ^vbd+++xvbn+=EXTRAWORD
institution ^nn+nom+++=institution,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Federal ^jj+atrb+++=Federal
University ^nn+nom+++=University
of ^in++++=of
Mato ^np+++??+=Mato
Grosso ^np+++??+=Grosso,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
achieved ^vbd+++xvbn+=achieved
an ^at++++=an
average ^jj+atrb+++=average
Dimensions ^nns++++=Dimensions
score ^nn++++=score
of ^in++++=of
1.57 ^cd++++=1.57
points ^nns++++=points,
, ^zz++++=EXTRAWORD
representing ^vbg+++xvbg+=representing
a ^at++++=a
marginal ^jj+atrb+++=marginal
increase ^nn++++=increase
of ^in++++=of
0.01 ^nn+++??+=0.01
points ^nns++++=points
compared ^vbd+++xvbn+=compared
to ^in++++=to
its ^pp$+it+++=its
2017 ^cd++++=2017
result ^nn++++=result.
. ^zz++++=EXTRAWORD
All ^abn++++=All
other ^ap++++=other
universities ^nns+nom+++=universities
remained ^vbd+++xvbn+=remained
below ^rb++++=below
the ^ati++++=the
1.0 ^cd++++=1.0-point
- ^zz++++=EXTRAWORD
point ^nn++++=EXTRAWORD
threshold ^nn++++=threshold,
, ^zz++++=EXTRAWORD
with ^in++++=with
minimal ^jj+atrb+++=minimal
variation ^nn+nom+++=variation
among ^in++++=among
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
the ^ati++++=the
difference ^nn+nom+++=difference
between ^in++++=between
the ^ati++++=the
third ^nn++++=third
and ^cc++++=and
last ^jj+atrb+++=last
positions ^nns+nom+++=positions
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
0.29 ^nn+++??+=0.29
points ^nns++++=points.
. ^zz++++=EXTRAWORD
Unesp ^np+++??+=UNESP
led ^vbd+++xvbn+=led
in ^in++++=in
all ^abn++++=all
Dimensions ^nns++++=Dimensions,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
Teaching ^xvbg+++xvbg+=Teaching
and ^cc++++=and
Learning ^xvbg+++xvbg+=Learning,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
it ^pp3+it+++=it
scored ^vbd+++xvbn+=scored
3.25 ^cd++++=3.25
points ^nns++++=points
a ^at++++=a
Dimension ^nn++++=Dimension
for ^in++++=for
which ^whp+rel+pied++=which
only ^rb+down+++=only
Unesp ^np+++??+=UNESP
and ^cc++++=and
the ^ati++++=the
Federal ^jj+atrb+++=Federal
University ^nn+nom+++=University
of ^in++++=of
Mato ^np+++??+=Mato
Grosso ^np+++??+=Grosso
( ^zz++++=(2.00
2.00 ^cd++++=EXTRAWORD
points ^nns++++=points)
) ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
data ^nns++++=data,
, ^zz++++=EXTRAWORD
as ^ql++++=as
was ^vbd+bedz+vrb++=was
the ^ati++++=the
case ^nn++++=case
in ^in++++=in
2017 ^cd++++=2017.
. ^zz++++=EXTRAWORD
In ^in++++=In
Regional ^jj+atrb+++=Regional
Engagement ^nn+nom+++=Engagement,
, ^zz++++=EXTRAWORD
Unesp ^np+++??+=UNESP
s ^zz++++=s
score ^nn++++=score
declined ^vbd+++xvbn+=declined
substantially ^rb++++=substantially
from ^in++++=from
