Several ^ap++++=Several
studies ^nns++++=studies
have ^vb+hv+aux++=have
examined ^vprf+++xvbnx+=examined
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
enteroparasites ^nns++++=enteroparasites
primarily ^rb+down+++=primarily
among ^in++++=among
the ^ati++++=the
indigenous ^jj+atrb+++=indigenous
Kaingang ^np+++??+=Kaingang
population ^nn+nom+++=population,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
in ^in++++=in
the ^ati++++=the
peridomestic ^jj+atrb+++=peridomestic
soil ^nn++++=soil
and ^cc++++=and
in ^in++++=in
sources ^nns++++=sources
of ^in++++=of
drinking ^xvbg+++xvbg+=drinking
and ^cc++++=and
recreational ^jj+atrb+++=recreational
water ^nn++++=water
within ^in++++=within
their ^pp$+pp3+++=their
villages ^nns+nom+++=villages.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
research ^nn++++=research
has ^vbz+hvz+aux++=has
focused ^vprf+++xvbnx+=focused
on ^in++++=on
identifying ^xvbg+++xvbg+=identifying
local ^jj+atrb+++=local
areas ^nns++++=areas
that ^tht+rel+subj++=that
present ^vb++++=present
an ^at++++=an
increased ^nn++++=increased
risk ^vb++++=risk
for ^in++++=for
the ^ati++++=the
acquisition ^nn+nom+++=acquisition
of ^in++++=of
these ^dt+dem+++=these
infections ^nns+nom+++=infections.
. ^zz++++=EXTRAWORD
